'TIME  ','TCA_1 ','TCA_2 ','TCA_3 ','TCA_4 ','TCA_5 ','TCA_6 ','TCA_7 ','TCB_1 ','TCB_2 ','TCB_3 ','TCB_4 ','TCB_5 ','TCB_6 ','TCB_7 ','TCC_1 ','TCC_2 ','TCC_3 ','TCC_4 ','TCC_5 ','TCC_6 ','TCC_7 ','TCD_1 ','TCD_2 ','TCD_3 ','TCD_4 ','TCD_5 ','TCD_6 ','TCD_7 ','TCE_1 ','TCE_2 ','TCE_3 ','TCE_4 ','TCE_5 ','TCE_6 ','TCE_7 ','TCF_1 ','TCF_2 ','TCF_3 ','TCF_4 ','TCF_5 ','TCF_6 ','TCF_7 ','TCG   ','TCFIRE','SMA_1 ','SMA_4 ','SMB_1 ','SMB_4 ','SMC_1 ','SMC_4 ','SMD_1 ','SMD_4 ','SME_1 ','SME_4 ','SMF_1 ','SMF_4 ','GASA_1','GASA_3','GASA_5','GASC_1','GASC_3','GASC_5','GASF_1','GASF_3','GASF_5','GASB_1','GASB_3','GASB_5','Heat1A','CO2A  ','Ion3A ','Pho1A ','CO3A  ','Pho3A ','Ion4A ','CO1A  ','Heat1C','CO2C  ','Ion3C ','Pho1C ','CO3C  ','Pho3C ','Ion4C ','CO1C  ','Heat1D','CO2D  ','Ion3D ','Pho1D ','CO3D  ','Pho3D ','Ion4D ','CO1D  ','Heat1B','CO2B  ','Ion3B ','Pho1B ','CO3B  ','Pho3B ','Ion4B ','CO1B  ','Asp1A ','Asp1C ','Asp1D ','Asp1E ','Pres_1','Pres_2','SMG   ','SMCO  ','Ion1A ','Ion1C ','Ion1D ','Ion1BE','DiPho2','DiIon2','DiIon4','Load  ','TCRef '
-0.73800E+03, 0.22100E+02, 0.21850E+02, 0.21730E+02, 0.21600E+02, 0.20730E+02, 0.20300E+02, 0.19610E+02, 0.22350E+02, 0.22470E+02, 0.22220E+02, 0.22220E+02, 0.21350E+02, 0.21230E+02, 0.20730E+02, 0.21600E+02, 0.21230E+02, 0.21230E+02, 0.20980E+02, 0.20540E+02, 0.20230E+02, 0.21540E+02, 0.21970E+02, 0.22040E+02, 0.22100E+02, 0.21350E+02, 0.20670E+02, 0.20420E+02, 0.20110E+02, 0.21480E+02, 0.21230E+02, 0.21100E+02, 0.20980E+02, 0.20790E+02, 0.20360E+02, 0.19980E+02, 0.21730E+02, 0.21730E+02, 0.21230E+02, 0.20670E+02, 0.20540E+02, 0.20300E+02, 0.20170E+02, 0.20730E+02, 0.21040E+02, 0.62391E-02, 0.49985E-02, 0.00000E+00, 0.19563E-01, 0.00000E+00, 0.00000E+00, 0.15096E-01, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.66516E-02, 0.42552E-01, 0.20925E+02, 0.27384E-03, 0.48096E-01, 0.20925E+02, 0.31592E-02, 0.49662E-01, 0.20829E+02, 0.18427E-02, 0.10062E+01, 0.20929E+02,-0.11130E+04, 0.50480E+03, 0.45140E+04, 0.23180E+03, 0.22740E+02, 0.97000E+03, 0.16440E+03, 0.39980E+01,-0.94800E+03, 0.50070E+03, 0.44970E+04, 0.26450E+03, 0.21990E+02, 0.92400E+03, 0.17670E+03, 0.36650E+01,-0.86300E+03, 0.50890E+03, 0.45940E+04, 0.32530E+03, 0.28900E+02,-0.22490E+01,-0.83000E-01,-0.75000E+01,-0.43380E+03, 0.50820E+03, 0.47530E+04, 0.24530E+03, 0.21660E+02, 0.52470E+01, 0.16490E+02,-0.28320E+01, 0.72600E+03, 0.68830E+03, 0.74500E+03,-0.72900E+03, 0.15250E+04, 0.15250E+04, 0.00000E+00, 0.00000E+00, 0.55130E+01, 0.59980E+01, 0.62480E+01, 0.61730E+01, 0.00000E+00, 0.10000E-02, 0.00000E+00, 0.00000E+00, 0.19860E+02
-0.73300E+03, 0.22100E+02, 0.21910E+02, 0.21730E+02, 0.21600E+02, 0.20790E+02, 0.20300E+02, 0.19670E+02, 0.22350E+02, 0.22350E+02, 0.22220E+02, 0.22100E+02, 0.21350E+02, 0.21100E+02, 0.20670E+02, 0.21790E+02, 0.21290E+02, 0.21230E+02, 0.21100E+02, 0.20730E+02, 0.19490E+02, 0.21480E+02, 0.21970E+02, 0.22040E+02, 0.21970E+02, 0.21730E+02, 0.20670E+02, 0.20360E+02, 0.20110E+02, 0.21480E+02, 0.21290E+02, 0.21100E+02, 0.20980E+02, 0.20860E+02, 0.20480E+02, 0.20050E+02, 0.21730E+02, 0.21790E+02, 0.21170E+02, 0.20730E+02, 0.20610E+02, 0.20360E+02, 0.20170E+02, 0.20730E+02, 0.21040E+02, 0.37403E-02, 0.97087E-02, 0.00000E+00, 0.19563E-01, 0.00000E+00, 0.00000E+00, 0.13935E-01, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.37619E-01, 0.20950E+02, 0.29603E-02, 0.48003E-01, 0.20950E+02, 0.16634E-02, 0.43986E-01, 0.20838E+02, 0.00000E+00, 0.10032E+01, 0.20991E+02,-0.11060E+04, 0.50730E+03, 0.45130E+04, 0.22840E+03, 0.22660E+02, 0.97300E+03, 0.16260E+03,-0.18320E+01,-0.94400E+03, 0.50340E+03, 0.44940E+04, 0.25040E+03, 0.22070E+02, 0.93800E+03, 0.17450E+03,-0.13330E+01,-0.87300E+03, 0.50890E+03, 0.46220E+04, 0.34470E+03, 0.28900E+02,-0.20820E+01,-0.16700E+00,-0.79100E+01,-0.41370E+03, 0.51090E+03, 0.47480E+04, 0.23760E+03, 0.21660E+02, 0.52470E+01, 0.16830E+02,-0.30820E+01, 0.74000E+03, 0.73800E+03, 0.74200E+03,-0.69810E+03, 0.15250E+04, 0.15250E+04, 0.12557E-02, 0.00000E+00, 0.55010E+01, 0.60020E+01, 0.62680E+01, 0.61620E+01, 0.00000E+00, 0.10000E-02, 0.00000E+00, 0.00000E+00, 0.19860E+02
-0.72800E+03, 0.22100E+02, 0.21910E+02, 0.21720E+02, 0.21600E+02, 0.20850E+02, 0.20360E+02, 0.19670E+02, 0.22340E+02, 0.22410E+02, 0.22220E+02, 0.22100E+02, 0.21350E+02, 0.21160E+02, 0.20730E+02, 0.22100E+02, 0.21290E+02, 0.21230E+02, 0.21230E+02, 0.20730E+02, 0.19980E+02, 0.21350E+02, 0.21970E+02, 0.22030E+02, 0.21970E+02, 0.21230E+02, 0.20600E+02, 0.20420E+02, 0.20110E+02, 0.21480E+02, 0.21290E+02, 0.21230E+02, 0.20980E+02, 0.20790E+02, 0.20480E+02, 0.19980E+02, 0.21790E+02, 0.21720E+02, 0.21160E+02, 0.20670E+02, 0.20670E+02, 0.20360E+02, 0.20170E+02, 0.20730E+02, 0.21040E+02, 0.13760E-01, 0.18265E+00, 0.00000E+00, 0.20045E-01, 0.00000E+00, 0.00000E+00, 0.12774E-01, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.43992E-02, 0.39087E-01, 0.20925E+02, 0.35086E-02, 0.48877E-01, 0.20950E+02, 0.00000E+00, 0.42753E-01, 0.20847E+02, 0.00000E+00, 0.10072E+01, 0.20785E+02,-0.10900E+04, 0.50440E+03, 0.45140E+04, 0.23040E+03, 0.22820E+02, 0.96100E+03, 0.16570E+03,-0.32480E+01,-0.95600E+03, 0.50230E+03, 0.45310E+04, 0.26770E+03, 0.21990E+02, 0.92600E+03, 0.17730E+03,-0.32480E+01,-0.87700E+03, 0.50970E+03, 0.45800E+04, 0.32780E+03, 0.28990E+02,-0.20820E+01, 0.00000E+00,-0.75000E+01,-0.45300E+03, 0.50810E+03, 0.48130E+04, 0.25470E+03, 0.21660E+02, 0.52470E+01, 0.16740E+02,-0.28320E+01, 0.65880E+03, 0.72700E+03, 0.75400E+03,-0.68600E+03, 0.15250E+04, 0.15250E+04, 0.00000E+00, 0.00000E+00, 0.54720E+01, 0.59980E+01, 0.62680E+01, 0.61400E+01, 0.00000E+00, 0.10000E-02, 0.00000E+00, 0.00000E+00, 0.19860E+02
-0.72300E+03, 0.22160E+02, 0.21850E+02, 0.21660E+02, 0.21100E+02, 0.20600E+02, 0.20350E+02, 0.19790E+02, 0.22340E+02, 0.22410E+02, 0.22220E+02, 0.22160E+02, 0.21350E+02, 0.21100E+02, 0.20670E+02, 0.22030E+02, 0.21350E+02, 0.21350E+02, 0.21100E+02, 0.20730E+02, 0.20170E+02, 0.21290E+02, 0.21850E+02, 0.21970E+02, 0.22160E+02, 0.21100E+02, 0.20600E+02, 0.20480E+02, 0.20110E+02, 0.21470E+02, 0.21230E+02, 0.21160E+02, 0.20980E+02, 0.20790E+02, 0.20420E+02, 0.20040E+02, 0.21600E+02, 0.21600E+02, 0.21230E+02, 0.20910E+02, 0.20670E+02, 0.20350E+02, 0.20230E+02, 0.20790E+02, 0.21040E+02, 0.11249E-01, 0.18114E+00, 0.00000E+00, 0.19322E-01, 0.00000E+00, 0.00000E+00, 0.12774E-01, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.15126E-01, 0.42812E-01, 0.20925E+02, 0.10414E-02, 0.48263E-01, 0.20925E+02, 0.85762E-04, 0.40699E-01, 0.20847E+02, 0.00000E+00, 0.10072E+01, 0.20991E+02,-0.11130E+04, 0.51210E+03, 0.44750E+04, 0.22580E+03, 0.32320E+02, 0.97100E+03, 0.16530E+03, 0.14160E+01,-0.92300E+03, 0.50020E+03, 0.44480E+04, 0.26540E+03, 0.21990E+02, 0.92700E+03, 0.17520E+03,-0.46640E+01,-0.88300E+03, 0.51110E+03, 0.45600E+04, 0.34180E+03, 0.24160E+02,-0.24160E+01,-0.83000E-01,-0.77500E+01,-0.50600E+03, 0.50770E+03, 0.47670E+04, 0.24460E+03, 0.21660E+02, 0.52470E+01, 0.16910E+02,-0.29990E+01, 0.70200E+03, 0.73700E+03, 0.68870E+03,-0.68010E+03, 0.15250E+04, 0.15250E+04, 0.00000E+00, 0.00000E+00, 0.54870E+01, 0.60250E+01, 0.62390E+01, 0.61620E+01, 0.00000E+00, 0.10000E-02, 0.00000E+00, 0.00000E+00, 0.19860E+02
-0.71800E+03, 0.22160E+02, 0.21840E+02, 0.21600E+02, 0.21040E+02, 0.20420E+02, 0.19730E+02, 0.19610E+02, 0.22340E+02, 0.22470E+02, 0.22220E+02, 0.22090E+02, 0.21470E+02, 0.20980E+02, 0.20600E+02, 0.21910E+02, 0.21350E+02, 0.21290E+02, 0.21100E+02, 0.20540E+02, 0.20100E+02, 0.21350E+02, 0.21970E+02, 0.22090E+02, 0.22030E+02, 0.21040E+02, 0.20660E+02, 0.20480E+02, 0.20100E+02, 0.21470E+02, 0.21220E+02, 0.21160E+02, 0.20980E+02, 0.20660E+02, 0.20350E+02, 0.19980E+02, 0.21660E+02, 0.21660E+02, 0.21220E+02, 0.20910E+02, 0.20660E+02, 0.20420E+02, 0.20230E+02, 0.20850E+02, 0.20910E+02, 0.12458E-02, 0.10024E-01, 0.00000E+00, 0.19563E-01, 0.00000E+00, 0.00000E+00, 0.13935E-01, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.16447E-01, 0.41688E-01, 0.20950E+02, 0.71225E-03, 0.45755E-01, 0.20950E+02, 0.20792E-02, 0.41025E-01, 0.20857E+02, 0.00000E+00, 0.10042E+01, 0.20929E+02,-0.11040E+04, 0.50640E+03, 0.44630E+04, 0.22440E+03, 0.32320E+02, 0.97400E+03, 0.17490E+03,-0.35820E+01,-0.91900E+03, 0.50810E+03, 0.44010E+04, 0.26740E+03, 0.21990E+02, 0.92700E+03, 0.17550E+03,-0.48310E+01,-0.88200E+03, 0.50970E+03, 0.45720E+04, 0.32500E+03, 0.24150E+02,-0.28320E+01, 0.00000E+00,-0.78300E+01,-0.51540E+03, 0.50710E+03, 0.47040E+04, 0.24250E+03, 0.21660E+02, 0.52470E+01, 0.16490E+02,-0.29990E+01, 0.71700E+03, 0.73700E+03, 0.74700E+03,-0.67740E+03, 0.15250E+04, 0.15250E+04, 0.00000E+00, 0.00000E+00, 0.54860E+01, 0.60150E+01, 0.62310E+01, 0.61370E+01, 0.00000E+00, 0.10000E-02, 0.00000E+00, 0.00000E+00, 0.19860E+02
-0.71300E+03, 0.22150E+02, 0.21840E+02, 0.21720E+02, 0.21470E+02, 0.20730E+02, 0.20100E+02, 0.19610E+02, 0.22340E+02, 0.22470E+02, 0.22220E+02, 0.22220E+02, 0.21350E+02, 0.21040E+02, 0.20600E+02, 0.21660E+02, 0.21350E+02, 0.21290E+02, 0.21040E+02, 0.20480E+02, 0.19230E+02, 0.21530E+02, 0.21970E+02, 0.21970E+02, 0.22030E+02, 0.21100E+02, 0.20600E+02, 0.20480E+02, 0.20170E+02, 0.21470E+02, 0.21220E+02, 0.21100E+02, 0.20970E+02, 0.20730E+02, 0.20290E+02, 0.20040E+02, 0.21660E+02, 0.21600E+02, 0.21220E+02, 0.20970E+02, 0.20600E+02, 0.20350E+02, 0.20170E+02, 0.20850E+02, 0.21160E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.19563E-01, 0.00000E+00, 0.00000E+00, 0.15096E-01, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.11110E-01, 0.42552E-01, 0.20950E+02, 0.00000E+00, 0.46796E-01, 0.20950E+02, 0.00000E+00, 0.41272E-01, 0.20857E+02, 0.00000E+00, 0.10042E+01, 0.21012E+02,-0.11010E+04, 0.50850E+03, 0.44970E+04, 0.22550E+03, 0.32320E+02, 0.97400E+03, 0.17510E+03,-0.42480E+01,-0.91600E+03, 0.50580E+03, 0.45260E+04, 0.26250E+03, 0.21990E+02, 0.92700E+03, 0.17570E+03,-0.48310E+01,-0.87600E+03, 0.50760E+03, 0.46450E+04, 0.31070E+03, 0.24240E+02,-0.27490E+01, 0.00000E+00,-0.74100E+01,-0.50680E+03, 0.51110E+03, 0.47720E+04, 0.23830E+03, 0.21660E+02, 0.53310E+01, 0.17160E+02,-0.27490E+01, 0.69670E+03, 0.75500E+03, 0.73000E+03,-0.71400E+03, 0.15250E+04, 0.15250E+04, 0.00000E+00, 0.00000E+00, 0.54840E+01, 0.60190E+01, 0.62120E+01, 0.61650E+01, 0.00000E+00, 0.10000E-02, 0.00000E+00, 0.00000E+00, 0.19860E+02
-0.70800E+03, 0.22090E+02, 0.21900E+02, 0.21840E+02, 0.21530E+02, 0.21100E+02, 0.20480E+02, 0.19670E+02, 0.22340E+02, 0.22460E+02, 0.22220E+02, 0.22220E+02, 0.21410E+02, 0.21100E+02, 0.20600E+02, 0.21590E+02, 0.21280E+02, 0.21280E+02, 0.21100E+02, 0.20410E+02, 0.20040E+02, 0.21590E+02, 0.21970E+02, 0.22090E+02, 0.21970E+02, 0.21030E+02, 0.20660E+02, 0.20480E+02, 0.20160E+02, 0.21470E+02, 0.21350E+02, 0.21220E+02, 0.21100E+02, 0.20720E+02, 0.20350E+02, 0.20100E+02, 0.21530E+02, 0.21720E+02, 0.21220E+02, 0.20850E+02, 0.20600E+02, 0.20480E+02, 0.20040E+02, 0.20720E+02, 0.21100E+02, 0.24925E-02, 0.12546E-01, 0.00000E+00, 0.20045E-01, 0.00000E+00, 0.00000E+00, 0.12774E-01, 0.00000E+00, 0.00000E+00, 0.15818E-01, 0.00000E+00, 0.00000E+00, 0.49540E-03, 0.40825E-01, 0.20925E+02, 0.13159E-02, 0.47659E-01, 0.20925E+02, 0.13313E-02, 0.38646E-01, 0.20847E+02, 0.00000E+00, 0.10052E+01, 0.20806E+02,-0.10940E+04, 0.50750E+03, 0.45360E+04, 0.22360E+03, 0.27400E+02, 0.97100E+03, 0.16570E+03,-0.11660E+01,-0.92200E+03, 0.50340E+03, 0.44780E+04, 0.26880E+03, 0.21990E+02, 0.92500E+03, 0.18910E+03,-0.14160E+01,-0.87000E+03, 0.51020E+03, 0.45770E+04, 0.33250E+03, 0.28900E+02,-0.23320E+01,-0.83000E-01,-0.69970E+01,-0.54160E+03, 0.50890E+03, 0.47630E+04, 0.25390E+03, 0.21570E+02, 0.52470E+01, 0.17070E+02,-0.25820E+01, 0.71400E+03, 0.74900E+03, 0.75300E+03,-0.73900E+03, 0.15250E+04, 0.15250E+04, 0.00000E+00, 0.00000E+00, 0.54560E+01, 0.60100E+01, 0.62280E+01, 0.61440E+01, 0.00000E+00, 0.10000E-02, 0.00000E+00, 0.00000E+00, 0.19850E+02
-0.70300E+03, 0.22090E+02, 0.21970E+02, 0.21840E+02, 0.21590E+02, 0.21030E+02, 0.20720E+02, 0.19790E+02, 0.22280E+02, 0.22400E+02, 0.22220E+02, 0.22220E+02, 0.21350E+02, 0.20970E+02, 0.20600E+02, 0.21530E+02, 0.21100E+02, 0.21100E+02, 0.20970E+02, 0.20600E+02, 0.20100E+02, 0.21470E+02, 0.22030E+02, 0.22030E+02, 0.21970E+02, 0.20970E+02, 0.20720E+02, 0.20480E+02, 0.20230E+02, 0.21470E+02, 0.21220E+02, 0.21220E+02, 0.21100E+02, 0.20720E+02, 0.20350E+02, 0.20100E+02, 0.21530E+02, 0.21590E+02, 0.21220E+02, 0.20970E+02, 0.20600E+02, 0.20230E+02, 0.19980E+02, 0.20910E+02, 0.20850E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.19322E-01, 0.00000E+00, 0.00000E+00, 0.15096E-01, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.39347E-01, 0.20925E+02, 0.40023E-02, 0.47482E-01, 0.20925E+02, 0.34913E-02, 0.42674E-01, 0.20847E+02, 0.00000E+00, 0.10052E+01, 0.20950E+02,-0.11130E+04, 0.50840E+03, 0.45660E+04, 0.22420E+03, 0.27400E+02, 0.97000E+03, 0.16430E+03, 0.42480E+01,-0.89800E+03, 0.50700E+03, 0.44500E+04, 0.26200E+03, 0.22070E+02, 0.93800E+03, 0.17660E+03,-0.50810E+01,-0.86200E+03, 0.50770E+03, 0.46080E+04, 0.32380E+03, 0.28900E+02,-0.22490E+01, 0.00000E+00,-0.73300E+01,-0.52950E+03, 0.50430E+03, 0.48000E+04, 0.24160E+03, 0.21740E+02, 0.52470E+01, 0.16990E+02,-0.26650E+01, 0.69490E+03, 0.73100E+03, 0.75300E+03,-0.70100E+03, 0.15250E+04, 0.15250E+04, 0.00000E+00, 0.00000E+00, 0.54870E+01, 0.59880E+01, 0.62400E+01, 0.61710E+01, 0.00000E+00, 0.10000E-02, 0.00000E+00, 0.00000E+00, 0.19850E+02
-0.69800E+03, 0.22150E+02, 0.21960E+02, 0.21840E+02, 0.21470E+02, 0.21090E+02, 0.20660E+02, 0.20100E+02, 0.22210E+02, 0.22340E+02, 0.22210E+02, 0.22210E+02, 0.21220E+02, 0.20970E+02, 0.20600E+02, 0.21590E+02, 0.21220E+02, 0.21090E+02, 0.20970E+02, 0.20660E+02, 0.20220E+02, 0.21340E+02, 0.22090E+02, 0.22090E+02, 0.22020E+02, 0.20970E+02, 0.20720E+02, 0.20470E+02, 0.20220E+02, 0.21470E+02, 0.21340E+02, 0.21220E+02, 0.20840E+02, 0.20530E+02, 0.20470E+02, 0.20290E+02, 0.21470E+02, 0.21590E+02, 0.21090E+02, 0.20970E+02, 0.20600E+02, 0.20220E+02, 0.19970E+02, 0.20910E+02, 0.20780E+02, 0.49892E-02, 0.56251E-02, 0.00000E+00, 0.20287E-01, 0.00000E+00, 0.00000E+00, 0.13935E-01, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.72593E-02, 0.40127E-01, 0.20950E+02, 0.40550E-02, 0.46796E-01, 0.20950E+02, 0.00000E+00, 0.40364E-01, 0.20838E+02, 0.00000E+00, 0.10052E+01, 0.20950E+02,-0.10980E+04, 0.50870E+03, 0.45060E+04, 0.21930E+03, 0.27490E+02, 0.97300E+03, 0.16500E+03,-0.49980E+01,-0.91800E+03, 0.50180E+03, 0.44890E+04, 0.27590E+03, 0.21990E+02, 0.93800E+03, 0.17650E+03,-0.49980E+01,-0.86700E+03, 0.50990E+03, 0.45690E+04, 0.36170E+03, 0.28990E+02,-0.20820E+01,-0.16700E+00,-0.75000E+01,-0.55660E+03, 0.51000E+03, 0.47860E+04, 0.25160E+03, 0.21660E+02, 0.53310E+01, 0.16910E+02,-0.28320E+01, 0.69480E+03, 0.73500E+03, 0.73200E+03,-0.67990E+03, 0.15250E+04, 0.15250E+04, 0.00000E+00, 0.00000E+00, 0.54790E+01, 0.60210E+01, 0.62390E+01, 0.61420E+01, 0.00000E+00, 0.10000E-02, 0.00000E+00, 0.00000E+00, 0.19850E+02
-0.69300E+03, 0.22150E+02, 0.21960E+02, 0.21780E+02, 0.21530E+02, 0.21160E+02, 0.20530E+02, 0.20160E+02, 0.22270E+02, 0.22400E+02, 0.22210E+02, 0.22210E+02, 0.21280E+02, 0.20970E+02, 0.20600E+02, 0.21650E+02, 0.21090E+02, 0.20970E+02, 0.20970E+02, 0.20660E+02, 0.20410E+02, 0.21030E+02, 0.22020E+02, 0.22090E+02, 0.21960E+02, 0.20910E+02, 0.20660E+02, 0.20470E+02, 0.20160E+02, 0.21470E+02, 0.21280E+02, 0.20910E+02, 0.20910E+02, 0.20530E+02, 0.20410E+02, 0.20410E+02, 0.21710E+02, 0.21530E+02, 0.21280E+02, 0.20970E+02, 0.20600E+02, 0.20220E+02, 0.19970E+02, 0.20780E+02, 0.20910E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.19322E-01, 0.00000E+00, 0.00000E+00, 0.15096E-01, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.10232E-01, 0.43166E-01, 0.20950E+02, 0.71225E-03, 0.46016E-01, 0.20950E+02, 0.00000E+00, 0.40946E-01, 0.20829E+02, 0.00000E+00, 0.10022E+01, 0.20950E+02,-0.10960E+04, 0.50730E+03, 0.45360E+04, 0.22630E+03, 0.27400E+02, 0.97300E+03, 0.17470E+03,-0.29990E+01,-0.92800E+03, 0.50310E+03, 0.45240E+04, 0.26560E+03, 0.21990E+02, 0.93800E+03, 0.17480E+03,-0.24990E+01,-0.85800E+03, 0.51290E+03, 0.45790E+04, 0.34470E+03, 0.24150E+02,-0.24990E+01, 0.00000E+00,-0.76600E+01,-0.57400E+03, 0.50870E+03, 0.47430E+04, 0.25130E+03, 0.21660E+02, 0.53310E+01, 0.16910E+02,-0.29150E+01, 0.70200E+03, 0.69900E+03, 0.68770E+03,-0.71600E+03, 0.15250E+04, 0.15250E+04, 0.00000E+00, 0.00000E+00, 0.54920E+01, 0.60210E+01, 0.62220E+01, 0.61640E+01, 0.00000E+00, 0.10000E-02, 0.00000E+00, 0.00000E+00, 0.19850E+02
