'TIME  ','TCA_1 ','TCA_2 ','TCA_3 ','TCA_4 ','TCA_5 ','TCA_6 ','TCA_7 ','TCB_1 ','TCB_2 ','TCB_3 ','TCB_4 ','TCB_5 ','TCB_6 ','TCB_7 ','TCC_1 ','TCC_2 ','TCC_3 ','TCC_4 ','TCC_5 ','TCC_6 ','TCC_B ','TCD_1 ','TCD_2 ','TCD_3 ','TCD_4 ','TCD_5 ','TCD_6 ','TCD_7 ','TCE_1 ','TCE_2 ','TCE_3 ','TCE_4 ','TCE_5 ','TCE_6 ','TCE_7 ','TCF_1 ','TCF_2 ','TCF_3 ','TCF_4 ','TCF_5 ','TCF_6 ','TCF_7 ','TCG   ','TCFIRB','TCFIRE','TCFIRK','SMA_1 ','SMA_3 ','SMB_1 ','SMB_3 ','SMC_1 ','SMC_3 ','SMD_1 ','SMD_3 ','SME_1 ','SME_3 ','SMF_1 ','SMF_3 ','SMF_1O','GASA_1','GASA_3','GASA_5','GASC_1','GASC_3','GASC_5','GASF_1','GASF_3','GASF_5','GASB_1','GASB_3','GASB_5','CO2A  ','Ion3A ','Pho1A ','CO3A  ','Pho3A ','Ion4A ','CO1A  ','CO2B  ','Ion3B ','Pho1B ','CO3B  ','Pho3B ','Ion4B ','CO1B  ','CO2C  ','Ion3C ','Pho1C ','CO3C  ','Pho3C ','Ion4C ','CO1C  ','CO2D  ','Ion3D ','Pho1D ','CO3D  ','Pho3D ','Ion4D ','CO1D  ','CO2E  ','Ion3E ','Pho1E ','CO3E  ','Asp1A ','Asp1C ','Asp1D ','Asp1E ','Pres_1','Pres_2','Pres_3','HeatK ','SMG   ','SMC_B ','Ion1A ','Ion1C ','Ion1D ','Ion1B ','Ion1E ','DiPh2B','DiIo2B','DiIo4B','DiPh2C','DiIo2C','DiIo4C','DiPh2D','DiIo2D','DiIo4D','Load_B','Load_E','TCRef '
-0.45660E+04, 0.27320E+02, 0.27200E+02, 0.27070E+02, 0.26700E+02, 0.26080E+02, 0.25090E+02, 0.24290E+02, 0.28120E+02, 0.28120E+02, 0.28190E+02, 0.28190E+02, 0.27940E+02, 0.27140E+02, 0.26460E+02, 0.27440E+02, 0.26700E+02, 0.26580E+02, 0.26390E+02, 0.25710E+02, 0.24720E+02, 0.25840E+02, 0.27630E+02, 0.27570E+02, 0.27820E+02, 0.26890E+02, 0.26330E+02, 0.25220E+02, 0.24470E+02, 0.26270E+02, 0.26330E+02, 0.26330E+02, 0.26210E+02, 0.26080E+02, 0.25840E+02, 0.24350E+02, 0.27070E+02, 0.27200E+02, 0.26700E+02, 0.26210E+02, 0.25900E+02, 0.25470E+02, 0.25090E+02, 0.25340E+02, 0.26580E+02, 0.27140E+02, 0.25840E+02, 0.70210E+00, 0.63740E-02, 0.74509E-01, 0.58397E-01, 0.00000E+00, 0.00000E+00, 0.14154E-01, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.21302E-01, 0.19386E+02, 0.58202E-02, 0.47973E-01, 0.20718E+02, 0.24179E-01, 0.11252E+00, 0.20852E+02, 0.99068E-02, 0.26684E-01, 0.20779E+02, 0.50650E+03,-0.23780E+03,-0.23490E+02,-0.14990E+02, 0.90500E+02,-0.69810E+02,-0.18410E+02, 0.49650E+03,-0.26620E+03,-0.29160E+02, 0.52480E+01, 0.24740E+02,-0.89600E+02, 0.15410E+02, 0.50440E+03,-0.39820E+02,-0.21660E+02, 0.12080E+02, 0.13240E+03,-0.53480E+02, 0.27490E+01, 0.50930E+03,-0.17000E+03,-0.17490E+02,-0.13910E+02, 0.86600E+01, 0.60060E+02, 0.90800E+01,-0.84600E+03,-0.92500E+03,-0.17140E+03,-0.21580E+02,-0.21490E+02, 0.11660E+01,-0.50000E+00, 0.26660E+01,-0.54580E+03, 0.15220E+04, 0.44640E+03, 0.83000E-01, 0.00000E+00, 0.00000E+00,-0.68000E-01, 0.16700E+00, 0.70000E-02,-0.17800E+00, 0.55000E-01,-0.10000E-02,-0.10000E-02, 0.00000E+00,-0.10000E-02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.24350E+02
-0.45640E+04, 0.27320E+02, 0.27200E+02, 0.27070E+02, 0.26700E+02, 0.25960E+02, 0.25090E+02, 0.24290E+02, 0.28060E+02, 0.28190E+02, 0.28190E+02, 0.28190E+02, 0.27940E+02, 0.26950E+02, 0.26330E+02, 0.27320E+02, 0.26700E+02, 0.26640E+02, 0.26460E+02, 0.25710E+02, 0.24910E+02, 0.25840E+02, 0.27630E+02, 0.27570E+02, 0.27880E+02, 0.26830E+02, 0.26330E+02, 0.25280E+02, 0.24540E+02, 0.26270E+02, 0.26330E+02, 0.26210E+02, 0.26210E+02, 0.26090E+02, 0.25900E+02, 0.24350E+02, 0.27070E+02, 0.27200E+02, 0.26830E+02, 0.26210E+02, 0.25840E+02, 0.25340E+02, 0.24970E+02, 0.25280E+02, 0.25960E+02, 0.27070E+02, 0.25780E+02, 0.71104E+00, 0.55770E-02, 0.82709E-01, 0.60044E-01, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.16565E-01, 0.00000E+00, 0.00000E+00, 0.21987E-01, 0.19386E+02, 0.68784E-02, 0.43176E-01, 0.20898E+02, 0.21672E-01, 0.11168E+00, 0.20828E+02, 0.85968E-02, 0.26116E-01, 0.20779E+02, 0.50660E+03,-0.33840E+03,-0.23570E+02,-0.10080E+02, 0.10760E+03,-0.74900E+02,-0.20240E+02, 0.50010E+03,-0.22830E+03,-0.29160E+02, 0.11660E+02, 0.72800E+02,-0.85700E+02,-0.41990E+02, 0.50320E+03,-0.61650E+02,-0.21660E+02, 0.47480E+01, 0.13840E+03,-0.57480E+02, 0.24990E+01, 0.50540E+03,-0.29870E+03,-0.17490E+02,-0.14750E+02,-0.31660E+01, 0.77500E+01, 0.62730E+02,-0.84100E+03,-0.76800E+03,-0.17050E+03,-0.12140E+03,-0.21660E+02, 0.21660E+01,-0.50000E+00, 0.26660E+01,-0.55490E+03, 0.15220E+04, 0.44260E+03, 0.00000E+00, 0.00000E+00, 0.00000E+00,-0.20000E-01, 0.18000E+00,-0.41000E-01,-0.15800E+00, 0.10500E+00,-0.10000E-02,-0.10000E-02, 0.00000E+00,-0.20000E-02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.66095E-04, 0.24350E+02
-0.45620E+04, 0.27320E+02, 0.27260E+02, 0.27080E+02, 0.26640E+02, 0.26020E+02, 0.25100E+02, 0.24290E+02, 0.28060E+02, 0.28190E+02, 0.28130E+02, 0.28190E+02, 0.27940E+02, 0.27010E+02, 0.26400E+02, 0.27380E+02, 0.26700E+02, 0.26640E+02, 0.26460E+02, 0.25710E+02, 0.25100E+02, 0.25840E+02, 0.27760E+02, 0.27570E+02, 0.27880E+02, 0.26830E+02, 0.26210E+02, 0.25280E+02, 0.24600E+02, 0.26210E+02, 0.26330E+02, 0.26330E+02, 0.26210E+02, 0.26090E+02, 0.25900E+02, 0.24290E+02, 0.27080E+02, 0.27200E+02, 0.26770E+02, 0.26210E+02, 0.25710E+02, 0.25340E+02, 0.24850E+02, 0.25100E+02, 0.25470E+02, 0.27080E+02, 0.25780E+02, 0.70210E+00, 0.00000E+00, 0.74509E-01, 0.57574E-01, 0.00000E+00, 0.00000E+00, 0.12266E-01, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.21474E-01, 0.19386E+02, 0.58202E-02, 0.40777E-01, 0.20770E+02, 0.21672E-01, 0.11042E+00, 0.20852E+02, 0.99068E-02, 0.26684E-01, 0.20803E+02, 0.50550E+03,-0.90800E+02,-0.23570E+02,-0.40820E+01, 0.12330E+03,-0.97500E+02,-0.30160E+02, 0.50070E+03,-0.35040E+03,-0.29160E+02,-0.86600E+01,-0.41740E+02,-0.45480E+02, 0.61810E+02, 0.50520E+03,-0.32770E+03,-0.21660E+02, 0.38320E+01, 0.13690E+03,-0.46650E+02,-0.39150E+01, 0.50830E+03,-0.71500E+02,-0.17580E+02, 0.73300E+01, 0.14500E+03, 0.66600E+00,-0.94800E+02,-0.85400E+03,-0.73400E+03,-0.16190E+03,-0.25700E+03,-0.22660E+02, 0.75000E+00, 0.41700E+00, 0.26660E+01,-0.56010E+03, 0.15220E+04, 0.43990E+03, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.17200E+00,-0.80000E-02,-0.17400E+00, 0.66000E-01, 0.14600E+00,-0.10000E-02,-0.10000E-02, 0.00000E+00,-0.20000E-02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.24350E+02
-0.45600E+04, 0.27320E+02, 0.27260E+02, 0.27070E+02, 0.26700E+02, 0.26080E+02, 0.25090E+02, 0.24230E+02, 0.28060E+02, 0.28120E+02, 0.28190E+02, 0.28190E+02, 0.27810E+02, 0.27070E+02, 0.26580E+02, 0.27260E+02, 0.26760E+02, 0.26640E+02, 0.26390E+02, 0.25590E+02, 0.25090E+02, 0.25840E+02, 0.27750E+02, 0.27630E+02, 0.27940E+02, 0.26950E+02, 0.26270E+02, 0.25340E+02, 0.24720E+02, 0.26210E+02, 0.26330E+02, 0.26270E+02, 0.26150E+02, 0.26150E+02, 0.25900E+02, 0.24350E+02, 0.27130E+02, 0.27320E+02, 0.26700E+02, 0.26210E+02, 0.25840E+02, 0.25220E+02, 0.24850E+02, 0.25160E+02, 0.24970E+02, 0.26950E+02, 0.25710E+02, 0.70210E+00, 0.63740E-02, 0.82709E-01, 0.57574E-01, 0.00000E+00, 0.00000E+00, 0.17933E-01, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.17318E-01, 0.00000E+00, 0.00000E+00, 0.21645E-01, 0.19386E+02, 0.63493E-02, 0.43176E-01, 0.20615E+02, 0.23346E-01, 0.11189E+00, 0.20828E+02, 0.10510E-01, 0.25549E-01, 0.20754E+02, 0.50780E+03,-0.34030E+03,-0.23660E+02, 0.48320E+01, 0.12640E+03,-0.72800E+02,-0.23080E+02, 0.49780E+03,-0.13930E+03,-0.29160E+02, 0.13750E+02, 0.12290E+03,-0.54400E+02,-0.97200E+02, 0.50450E+03,-0.10220E+03,-0.21660E+02,-0.57480E+01, 0.13950E+03,-0.62810E+02, 0.30820E+01, 0.50840E+03,-0.32500E+03,-0.17490E+02,-0.12580E+02,-0.15160E+02,-0.22240E+02, 0.98400E+02,-0.84400E+03,-0.73300E+03,-0.16650E+03,-0.12390E+03,-0.21830E+02, 0.23330E+01,-0.50000E+00, 0.25820E+01,-0.56520E+03, 0.15220E+04, 0.43960E+03, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.10000E-01, 0.17700E+00,-0.66000E-01,-0.14100E+00, 0.13500E+00,-0.10000E-02,-0.10000E-02, 0.00000E+00,-0.10000E-02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.24350E+02
-0.45580E+04, 0.27320E+02, 0.27260E+02, 0.27070E+02, 0.26640E+02, 0.25960E+02, 0.25090E+02, 0.24230E+02, 0.28060E+02, 0.28130E+02, 0.28190E+02, 0.28190E+02, 0.27570E+02, 0.27010E+02, 0.26830E+02, 0.27200E+02, 0.26700E+02, 0.26580E+02, 0.26210E+02, 0.25590E+02, 0.25090E+02, 0.25840E+02, 0.27750E+02, 0.27630E+02, 0.28060E+02, 0.27070E+02, 0.26210E+02, 0.25470E+02, 0.24850E+02, 0.26150E+02, 0.26330E+02, 0.26330E+02, 0.26210E+02, 0.26210E+02, 0.25840E+02, 0.24480E+02, 0.27140E+02, 0.27320E+02, 0.26700E+02, 0.26210E+02, 0.25780E+02, 0.25160E+02, 0.24720E+02, 0.25220E+02, 0.24790E+02, 0.26950E+02, 0.25710E+02, 0.69323E+00, 0.95630E-02, 0.82709E-01, 0.59221E-01, 0.00000E+00, 0.00000E+00, 0.17933E-01, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.67754E-02, 0.00000E+00, 0.00000E+00, 0.21987E-01, 0.19386E+02, 0.63493E-02, 0.43176E-01, 0.20873E+02, 0.23552E-01, 0.10778E+00, 0.20877E+02, 0.10711E-01, 0.27252E-01, 0.20779E+02, 0.50710E+03,-0.60310E+02,-0.23490E+02, 0.65810E+01, 0.12420E+03,-0.79600E+02,-0.32410E+02, 0.49880E+03,-0.21570E+03,-0.29160E+02,-0.14330E+02,-0.22990E+02, 0.34660E+02, 0.28410E+02, 0.50570E+03,-0.33060E+03,-0.21660E+02, 0.26660E+01, 0.13400E+03,-0.50400E+02,-0.21660E+01, 0.50640E+03,-0.72600E+02,-0.17490E+02, 0.80000E+01, 0.13070E+03,-0.14080E+02,-0.71400E+02,-0.85400E+03,-0.73400E+03,-0.15840E+03,-0.24110E+03,-0.21830E+02, 0.75000E+00, 0.83000E-01, 0.27490E+01,-0.56770E+03, 0.15220E+04, 0.43840E+03, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.39000E-01, 0.16200E+00,-0.94000E-01,-0.12000E+00, 0.14900E+00,-0.10000E-02,-0.10000E-02, 0.00000E+00,-0.10000E-02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.24350E+02
-0.45560E+04, 0.27380E+02, 0.27320E+02, 0.27140E+02, 0.26640E+02, 0.26020E+02, 0.25030E+02, 0.24170E+02, 0.28000E+02, 0.28060E+02, 0.28190E+02, 0.28130E+02, 0.27450E+02, 0.27080E+02, 0.26890E+02, 0.27080E+02, 0.26640E+02, 0.26640E+02, 0.26150E+02, 0.25590E+02, 0.25160E+02, 0.25840E+02, 0.27630E+02, 0.27690E+02, 0.28060E+02, 0.27080E+02, 0.26330E+02, 0.25470E+02, 0.24850E+02, 0.26270E+02, 0.26330E+02, 0.26270E+02, 0.26210E+02, 0.26090E+02, 0.25710E+02, 0.24540E+02, 0.27010E+02, 0.27260E+02, 0.26580E+02, 0.26090E+02, 0.25840E+02, 0.25100E+02, 0.24660E+02, 0.25280E+02, 0.24790E+02, 0.26950E+02, 0.25710E+02, 0.72003E+00, 0.11158E-01, 0.82709E-01, 0.56750E-01, 0.00000E+00, 0.00000E+00, 0.22658E-01, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.75281E-02, 0.00000E+00, 0.00000E+00, 0.21388E-01, 0.19386E+02, 0.63493E-02, 0.44775E-01, 0.20667E+02, 0.24649E-01, 0.11136E+00, 0.20828E+02, 0.98042E-02, 0.24981E-01, 0.20779E+02, 0.50460E+03,-0.35340E+03,-0.23490E+02,-0.51650E+01, 0.12480E+03,-0.69310E+02,-0.22490E+02, 0.49650E+03,-0.12230E+03,-0.29160E+02, 0.13080E+02, 0.12990E+03,-0.61480E+02,-0.85600E+02, 0.50770E+03,-0.11800E+03,-0.21660E+02,-0.10750E+02, 0.14050E+03,-0.64480E+02, 0.34990E+01, 0.50920E+03,-0.33560E+03,-0.17490E+02,-0.10910E+02,-0.22080E+02,-0.37570E+02, 0.11100E+03,-0.84300E+03,-0.71800E+03,-0.16320E+03,-0.12890E+03,-0.21990E+02, 0.24160E+01,-0.41700E+00, 0.27490E+01,-0.57010E+03, 0.15220E+04, 0.43860E+03, 0.00000E+00, 0.00000E+00, 0.00000E+00,-0.17000E-01, 0.18100E+00,-0.42000E-01,-0.15700E+00, 0.10500E+00,-0.10000E-02,-0.10000E-02, 0.00000E+00,-0.20000E-02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.24350E+02
-0.45540E+04, 0.27380E+02, 0.27320E+02, 0.27130E+02, 0.26580E+02, 0.25960E+02, 0.25030E+02, 0.24160E+02, 0.28060E+02, 0.28060E+02, 0.28120E+02, 0.28000E+02, 0.27440E+02, 0.27010E+02, 0.26760E+02, 0.27070E+02, 0.26640E+02, 0.26580E+02, 0.26150E+02, 0.25530E+02, 0.25160E+02, 0.25840E+02, 0.27630E+02, 0.27630E+02, 0.28060E+02, 0.27130E+02, 0.26450E+02, 0.25460E+02, 0.24850E+02, 0.26210E+02, 0.26330E+02, 0.26270E+02, 0.26150E+02, 0.26080E+02, 0.25590E+02, 0.24540E+02, 0.26830E+02, 0.27320E+02, 0.26760E+02, 0.26080E+02, 0.25840E+02, 0.25160E+02, 0.24660E+02, 0.25280E+02, 0.25030E+02, 0.26950E+02, 0.25770E+02, 0.67566E+00, 0.11158E-01, 0.82709E-01, 0.58397E-01, 0.00000E+00, 0.00000E+00, 0.10378E-01, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.15812E-01, 0.00000E+00, 0.00000E+00, 0.21987E-01, 0.19386E+02, 0.58202E-02, 0.46374E-01, 0.20795E+02, 0.26373E-01, 0.11263E+00, 0.20852E+02, 0.11667E-01, 0.26684E-01, 0.20803E+02, 0.50670E+03,-0.26370E+03,-0.23490E+02,-0.14750E+02, 0.12690E+03,-0.90200E+02,-0.26410E+02, 0.49770E+03,-0.33230E+03,-0.29160E+02, 0.25820E+01, 0.21490E+02,-0.10460E+03, 0.34990E+02, 0.50480E+03,-0.64480E+02,-0.21660E+02, 0.85000E+01, 0.14030E+03,-0.58310E+02, 0.63310E+01, 0.50800E+03,-0.26810E+03,-0.17490E+02,-0.14750E+02, 0.14160E+01, 0.11410E+02, 0.54980E+02,-0.83900E+03,-0.79600E+03,-0.16310E+03,-0.73600E+02,-0.21580E+02, 0.19990E+01,-0.75000E+00, 0.27490E+01,-0.57180E+03, 0.15220E+04, 0.43860E+03, 0.00000E+00, 0.00000E+00, 0.00000E+00,-0.16300E+00,-0.20000E-01, 0.18100E+00,-0.37000E-01,-0.16200E+00,-0.10000E-02, 0.10000E-02, 0.00000E+00,-0.10000E-02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.24350E+02
-0.45520E+04, 0.27380E+02, 0.27260E+02, 0.27080E+02, 0.26700E+02, 0.26020E+02, 0.25030E+02, 0.24170E+02, 0.28060E+02, 0.28060E+02, 0.28130E+02, 0.27820E+02, 0.27450E+02, 0.26950E+02, 0.26640E+02, 0.27010E+02, 0.26640E+02, 0.26520E+02, 0.26020E+02, 0.25590E+02, 0.25030E+02, 0.25840E+02, 0.27570E+02, 0.27630E+02, 0.28000E+02, 0.27320E+02, 0.26460E+02, 0.25590E+02, 0.24790E+02, 0.26270E+02, 0.26270E+02, 0.26270E+02, 0.26150E+02, 0.26150E+02, 0.25530E+02, 0.24540E+02, 0.26830E+02, 0.27260E+02, 0.26640E+02, 0.26210E+02, 0.25840E+02, 0.25160E+02, 0.24600E+02, 0.25340E+02, 0.24600E+02, 0.26890E+02, 0.25470E+02, 0.68441E+00, 0.11158E-01, 0.82709E-01, 0.59221E-01, 0.00000E+00, 0.00000E+00, 0.16988E-01, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.17318E-01, 0.00000E+00, 0.00000E+00, 0.21302E-01, 0.19386E+02, 0.63493E-02, 0.51172E-01, 0.20821E+02, 0.24593E-01, 0.11252E+00, 0.20852E+02, 0.11315E-01, 0.26684E-01, 0.20779E+02, 0.51250E+03,-0.26470E+03,-0.23490E+02,-0.14910E+02, 0.13800E+03,-0.10010E+03,-0.28320E+02, 0.49920E+03,-0.33150E+03,-0.29160E+02, 0.34150E+01, 0.24490E+02,-0.97500E+02, 0.18490E+02, 0.50560E+03,-0.64140E+02,-0.21660E+02, 0.74100E+01, 0.14200E+03,-0.57730E+02, 0.59150E+01, 0.50860E+03,-0.26760E+03,-0.17490E+02,-0.14660E+02, 0.11250E+02, 0.87500E+01, 0.48320E+02,-0.83700E+03,-0.78400E+03,-0.16110E+03,-0.86100E+02,-0.21410E+02, 0.19160E+01,-0.66600E+00, 0.26660E+01,-0.57260E+03, 0.15220E+04, 0.43880E+03, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.11100E+00, 0.10800E+00,-0.15400E+00,-0.47000E-01, 0.17500E+00,-0.10000E-02,-0.10000E-02, 0.00000E+00,-0.20000E-02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.24350E+02
-0.45500E+04, 0.27380E+02, 0.27260E+02, 0.27140E+02, 0.26640E+02, 0.26020E+02, 0.25030E+02, 0.24170E+02, 0.28000E+02, 0.28060E+02, 0.28120E+02, 0.27750E+02, 0.27380E+02, 0.26890E+02, 0.26580E+02, 0.27010E+02, 0.26580E+02, 0.26520E+02, 0.25960E+02, 0.25530E+02, 0.24970E+02, 0.25840E+02, 0.27510E+02, 0.27630E+02, 0.28000E+02, 0.27510E+02, 0.26460E+02, 0.25710E+02, 0.24720E+02, 0.26330E+02, 0.26330E+02, 0.26330E+02, 0.26150E+02, 0.26150E+02, 0.25400E+02, 0.24410E+02, 0.26890E+02, 0.27260E+02, 0.26640E+02, 0.26150E+02, 0.25780E+02, 0.25280E+02, 0.24600E+02, 0.25280E+02, 0.24720E+02, 0.26830E+02, 0.25650E+02, 0.68441E+00, 0.87656E-02, 0.82709E-01, 0.60044E-01, 0.00000E+00, 0.00000E+00, 0.13210E-01, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.97868E-02, 0.00000E+00, 0.00000E+00, 0.21816E-01, 0.19410E+02, 0.63493E-02, 0.47973E-01, 0.20667E+02, 0.22769E-01, 0.10905E+00, 0.20852E+02, 0.11214E-01, 0.26684E-01, 0.20803E+02, 0.50830E+03,-0.16490E+03,-0.23490E+02,-0.14830E+02, 0.14990E+03,-0.11240E+03,-0.32660E+02, 0.49670E+03,-0.35120E+03,-0.29160E+02,-0.82500E+01,-0.22910E+02,-0.55900E+02, 0.50980E+02, 0.50690E+03,-0.32210E+03,-0.21660E+02, 0.50820E+01, 0.13750E+03,-0.50150E+02,-0.13330E+01, 0.50800E+03,-0.10530E+03,-0.17490E+02, 0.11830E+02, 0.15880E+03,-0.41740E+02,-0.91200E+02,-0.84700E+03,-0.67100E+03,-0.15400E+03,-0.32700E+03,-0.23080E+02, 0.91600E+00, 0.58300E+00, 0.28320E+01,-0.57180E+03, 0.15220E+04, 0.43740E+03, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.15700E+00, 0.51000E-01,-0.17100E+00, 0.11000E-01, 0.17900E+00,-0.10000E-02,-0.10000E-02, 0.00000E+00,-0.20000E-02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.24350E+02
-0.45480E+04, 0.27440E+02, 0.27320E+02, 0.27140E+02, 0.26700E+02, 0.26020E+02, 0.25030E+02, 0.24100E+02, 0.28000E+02, 0.28060E+02, 0.28060E+02, 0.27820E+02, 0.27380E+02, 0.26760E+02, 0.26460E+02, 0.27070E+02, 0.26580E+02, 0.26460E+02, 0.26020E+02, 0.25400E+02, 0.25030E+02, 0.25840E+02, 0.27570E+02, 0.27630E+02, 0.28000E+02, 0.27570E+02, 0.26390E+02, 0.25770E+02, 0.24660E+02, 0.26330E+02, 0.26330E+02, 0.26270E+02, 0.26150E+02, 0.26080E+02, 0.25280E+02, 0.24290E+02, 0.26890E+02, 0.27320E+02, 0.26640E+02, 0.26080E+02, 0.25710E+02, 0.25340E+02, 0.24470E+02, 0.25280E+02, 0.24600E+02, 0.26830E+02, 0.25590E+02, 0.68441E+00, 0.11158E-01, 0.82709E-01, 0.59221E-01, 0.00000E+00, 0.00000E+00, 0.25494E-01, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.22581E-02, 0.00000E+00, 0.00000E+00, 0.21816E-01, 0.19386E+02, 0.68784E-02, 0.45575E-01, 0.20718E+02, 0.23446E-01, 0.11189E+00, 0.20828E+02, 0.10058E-01, 0.25549E-01, 0.20754E+02, 0.50900E+03,-0.34970E+03,-0.23490E+02,-0.16660E+01, 0.14670E+03,-0.81300E+02,-0.26490E+02, 0.49630E+03,-0.10890E+03,-0.29160E+02, 0.12910E+02, 0.13990E+03,-0.36650E+02,-0.11520E+03, 0.50280E+03,-0.14900E+03,-0.21660E+02,-0.13910E+02, 0.14100E+03,-0.68310E+02, 0.30820E+01, 0.50820E+03,-0.34910E+03,-0.17490E+02,-0.10000E+02,-0.11000E+02,-0.44240E+02, 0.10000E+03,-0.85200E+03,-0.79000E+03,-0.16030E+03,-0.76200E+02,-0.21580E+02, 0.19990E+01,-0.75000E+00, 0.27490E+01,-0.57390E+03, 0.15220E+04, 0.43860E+03, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.32000E-01, 0.16700E+00,-0.86000E-01,-0.12500E+00, 0.14300E+00,-0.10000E-02,-0.10000E-02, 0.00000E+00,-0.20000E-02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.24350E+02
