'TIME  ','TCA_1 ','TCA_2 ','TCA_3 ','TCA_4 ','TCA_5 ','TCA_6 ','TCA_7 ','TCB_1 ','TCB_2 ','TCB_3 ','TCB_4 ','TCB_5 ','TCB_6 ','TCB_7 ','TCC_1 ','TCC_2 ','TCC_3 ','TCC_4 ','TCC_5 ','TCC_6 ','TCC_7 ','TCD_1 ','TCD_2 ','TCD_3 ','TCD_4 ','TCD_5 ','TCD_6 ','TCD_7 ','TCE_1 ','TCE_2 ','TCE_3 ','TCE_4 ','TCE_5 ','TCE_6 ','TCE_7 ','TCF_1 ','TCF_2 ','TCF_3 ','TCF_4 ','TCF_5 ','TCF_6 ','TCF_7 ','TCG   ','TCFIRE','SMA_1 ','SMA_4 ','SMB_1 ','SMB_4 ','SMC_1 ','SMC_4 ','SMD_1 ','SMD_4 ','SME_1 ','SME_4 ','SMF_1 ','SMF_4 ','GASA_1','GASA_3','GASA_5','GASC_1','GASC_3','GASC_5','GASF_1','GASF_3','GASF_5','GASB_1','GASB_3','GASB_5','Heat1A','CO2A  ','Ion3A ','Pho1A ','CO3A  ','Pho3A ','Ion4A ','CO1A  ','Heat1C','CO2C  ','Ion3C ','Pho1C ','CO3C  ','Pho3C ','Ion4C ','CO1C  ','Heat1D','CO2D  ','Ion3D ','Pho1D ','CO3D  ','Pho3D ','Ion4D ','CO1D  ','Heat1B','CO2B  ','Ion3B ','Pho1B ','CO3B  ','Pho3B ','Ion4B ','CO1B  ','Asp1A ','Asp1C ','Asp1D ','Asp1E ','Pres_1','Pres_2','SMG   ','SMCO  ','Ion1A ','Ion1C ','Ion1D ','Ion1BE','DiPho2','DiIon2','DiIon4','Load  ','TCRef '
-0.72900E+03, 0.25210E+02, 0.25020E+02, 0.24780E+02, 0.24470E+02, 0.23600E+02, 0.22980E+02, 0.22290E+02, 0.23350E+02, 0.23290E+02, 0.23100E+02, 0.22920E+02, 0.22790E+02, 0.22540E+02, 0.22420E+02, 0.24160E+02, 0.23910E+02, 0.23410E+02, 0.22980E+02, 0.22540E+02, 0.21860E+02, 0.24220E+02, 0.22670E+02, 0.22730E+02, 0.22730E+02, 0.22790E+02, 0.22670E+02, 0.22670E+02, 0.22540E+02, 0.23720E+02, 0.23540E+02, 0.23350E+02, 0.23230E+02, 0.23100E+02, 0.23040E+02, 0.22920E+02, 0.23230E+02, 0.23160E+02, 0.23040E+02, 0.23100E+02, 0.23160E+02, 0.22920E+02, 0.22850E+02, 0.21860E+02, 0.22480E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.57292E-01, 0.20925E+02, 0.37279E-02, 0.58246E-01, 0.20925E+02, 0.00000E+00, 0.30246E+00, 0.58701E+02, 0.00000E+00, 0.62807E+01, 0.89542E+01,-0.15240E+04, 0.50950E+03, 0.43530E+04, 0.22340E+03, 0.27490E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00,-0.15240E+04, 0.50890E+03, 0.41690E+04, 0.27110E+03, 0.21990E+02, 0.00000E+00,-0.83000E-01, 0.00000E+00,-0.50810E+02,-0.47900E+02, 0.17240E+03,-0.59180E+03, 0.27750E+03, 0.33300E+00, 0.12500E+01,-0.11660E+01,-0.15240E+04, 0.10080E+02, 0.45030E+04, 0.24800E+03, 0.21660E+02, 0.19930E+03, 0.85600E+03,-0.11660E+01, 0.69660E+03, 0.79300E+03, 0.16290E+03,-0.68010E+03, 0.15250E+04, 0.15250E+04, 0.00000E+00, 0.00000E+00, 0.52680E+01, 0.58710E+01, 0.24250E+01, 0.57770E+01, 0.00000E+00, 0.10000E-02, 0.10000E-02, 0.00000E+00, 0.20800E+02
-0.72700E+03, 0.25210E+02, 0.25090E+02, 0.24780E+02, 0.24470E+02, 0.23660E+02, 0.23040E+02, 0.22420E+02, 0.23350E+02, 0.23160E+02, 0.23100E+02, 0.22920E+02, 0.22790E+02, 0.22540E+02, 0.22420E+02, 0.24090E+02, 0.23910E+02, 0.23470E+02, 0.22980E+02, 0.22670E+02, 0.21920E+02, 0.24030E+02, 0.22730E+02, 0.22670E+02, 0.22790E+02, 0.22790E+02, 0.22730E+02, 0.22670E+02, 0.22670E+02, 0.23780E+02, 0.23600E+02, 0.23290E+02, 0.23290E+02, 0.23160E+02, 0.23040E+02, 0.22790E+02, 0.23230E+02, 0.23160E+02, 0.23160E+02, 0.23100E+02, 0.23040E+02, 0.22920E+02, 0.22790E+02, 0.21800E+02, 0.22540E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.22630E-01, 0.00000E+00, 0.55034E-01, 0.20925E+02, 0.00000E+00, 0.53647E-01, 0.20925E+02, 0.00000E+00, 0.30425E+00, 0.58676E+02, 0.00000E+00, 0.62807E+01, 0.89798E+01,-0.15240E+04, 0.51130E+03, 0.43010E+04, 0.22430E+03, 0.27490E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00,-0.15240E+04, 0.51620E+03, 0.42460E+04, 0.25090E+03, 0.22070E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00,-0.15370E+03,-0.42900E+02, 0.52730E+02,-0.58230E+03, 0.36250E+03, 0.13330E+01, 0.16700E+00,-0.23320E+01,-0.15240E+04, 0.68210E+03, 0.44730E+04, 0.24880E+03, 0.21740E+02, 0.19980E+03, 0.85500E+03,-0.20820E+01, 0.74200E+03, 0.79900E+03, 0.16560E+03,-0.71700E+03, 0.15250E+04, 0.15250E+04, 0.00000E+00, 0.00000E+00, 0.52540E+01, 0.58810E+01, 0.24930E+01, 0.57680E+01, 0.00000E+00, 0.10000E-02, 0.10000E-02, 0.00000E+00, 0.20800E+02
-0.72500E+03, 0.25270E+02, 0.25020E+02, 0.24780E+02, 0.24530E+02, 0.23660E+02, 0.22980E+02, 0.22300E+02, 0.23350E+02, 0.23160E+02, 0.23100E+02, 0.22920E+02, 0.22790E+02, 0.22610E+02, 0.22420E+02, 0.24090E+02, 0.23970E+02, 0.23540E+02, 0.22920E+02, 0.22670E+02, 0.22170E+02, 0.24030E+02, 0.22730E+02, 0.22730E+02, 0.22730E+02, 0.22790E+02, 0.22670E+02, 0.22670E+02, 0.22610E+02, 0.23780E+02, 0.23540E+02, 0.23410E+02, 0.23290E+02, 0.23160E+02, 0.23100E+02, 0.22850E+02, 0.23230E+02, 0.23230E+02, 0.23230E+02, 0.23040E+02, 0.23160E+02, 0.22920E+02, 0.22920E+02, 0.21990E+02, 0.22360E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.79872E-01, 0.26005E-01, 0.49842E-01, 0.20925E+02, 0.00000E+00, 0.50266E-01, 0.20925E+02, 0.00000E+00, 0.30018E+00, 0.58701E+02, 0.00000E+00, 0.62807E+01, 0.89627E+01,-0.15240E+04, 0.51540E+03, 0.43120E+04, 0.22350E+03, 0.27490E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00,-0.15240E+04, 0.51250E+03, 0.42260E+04, 0.26100E+03, 0.21990E+02,-0.83000E-01,-0.83000E-01, 0.00000E+00,-0.18570E+03,-0.43900E+02, 0.21670E+03,-0.59110E+03, 0.20590E+03,-0.50000E+00, 0.13330E+01, 0.83000E-01,-0.15240E+04, 0.60140E+03, 0.44890E+04, 0.24890E+03, 0.21740E+02, 0.19800E+03, 0.85600E+03, 0.12500E+01, 0.73200E+03, 0.73500E+03, 0.16400E+03,-0.72000E+03, 0.15250E+04, 0.15250E+04, 0.00000E+00, 0.00000E+00, 0.52470E+01, 0.58840E+01, 0.23890E+01, 0.57720E+01, 0.00000E+00, 0.10000E-02, 0.10000E-02, 0.00000E+00, 0.20800E+02
-0.72300E+03, 0.25270E+02, 0.25020E+02, 0.24770E+02, 0.24400E+02, 0.23600E+02, 0.22910E+02, 0.22170E+02, 0.23220E+02, 0.23160E+02, 0.23100E+02, 0.22910E+02, 0.22790E+02, 0.22670E+02, 0.22420E+02, 0.24220E+02, 0.24150E+02, 0.23660E+02, 0.23040E+02, 0.22670E+02, 0.22170E+02, 0.23840E+02, 0.22670E+02, 0.22730E+02, 0.22670E+02, 0.22790E+02, 0.22730E+02, 0.22600E+02, 0.22670E+02, 0.23780E+02, 0.23600E+02, 0.23350E+02, 0.23290E+02, 0.23220E+02, 0.23160E+02, 0.22730E+02, 0.23290E+02, 0.23290E+02, 0.23160E+02, 0.23160E+02, 0.23160E+02, 0.22980E+02, 0.22850E+02, 0.21670E+02, 0.22540E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.23962E-01, 0.49634E-01, 0.43515E-01, 0.20925E+02, 0.00000E+00, 0.52867E-01, 0.20925E+02, 0.00000E+00, 0.28710E+00, 0.58676E+02, 0.00000E+00, 0.62869E+01, 0.89200E+01,-0.15240E+04, 0.51100E+03, 0.42270E+04, 0.22920E+03, 0.27490E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00,-0.15240E+04, 0.51080E+03, 0.42590E+04, 0.26160E+03, 0.22070E+02,-0.83000E-01, 0.00000E+00, 0.00000E+00,-0.20260E+03,-0.45730E+02, 0.21870E+03,-0.57890E+03, 0.19710E+03,-0.83300E+00, 0.10000E+01, 0.11660E+01,-0.15240E+04, 0.56450E+03, 0.44150E+04, 0.23900E+03, 0.21740E+02, 0.19810E+03, 0.85600E+03, 0.10830E+01, 0.73400E+03, 0.69330E+03, 0.16030E+03,-0.72400E+03, 0.15250E+04, 0.15250E+04, 0.00000E+00, 0.00000E+00, 0.52640E+01, 0.58800E+01, 0.22990E+01, 0.57950E+01, 0.00000E+00, 0.10000E-02, 0.10000E-02, 0.00000E+00, 0.20800E+02
-0.72100E+03, 0.25210E+02, 0.25080E+02, 0.24770E+02, 0.24460E+02, 0.23540E+02, 0.22910E+02, 0.22290E+02, 0.23160E+02, 0.23160E+02, 0.23100E+02, 0.22910E+02, 0.22790E+02, 0.22670E+02, 0.22540E+02, 0.24220E+02, 0.24090E+02, 0.23780E+02, 0.23160E+02, 0.22420E+02, 0.22360E+02, 0.23780E+02, 0.22670E+02, 0.22730E+02, 0.22790E+02, 0.22730E+02, 0.22670E+02, 0.22670E+02, 0.22600E+02, 0.23780E+02, 0.23530E+02, 0.23470E+02, 0.23290E+02, 0.23160E+02, 0.23100E+02, 0.22790E+02, 0.23290E+02, 0.23290E+02, 0.23290E+02, 0.23220E+02, 0.23160E+02, 0.23040E+02, 0.22850E+02, 0.22110E+02, 0.22290E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.15974E-01, 0.58346E-01, 0.33453E-01, 0.20925E+02, 0.31798E-02, 0.51400E-01, 0.20925E+02, 0.00000E+00, 0.28846E+00, 0.58676E+02, 0.00000E+00, 0.62930E+01, 0.89712E+01,-0.15240E+04, 0.51060E+03, 0.41880E+04, 0.22460E+03, 0.27570E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00,-0.15240E+04, 0.51190E+03, 0.42240E+04, 0.26080E+03, 0.22070E+02,-0.83000E-01,-0.83000E-01, 0.00000E+00,-0.23980E+03,-0.49230E+02, 0.21050E+03,-0.56380E+03, 0.20000E+03,-0.11660E+01, 0.75000E+00, 0.16660E+01,-0.15240E+04, 0.53710E+03, 0.44670E+04, 0.25180E+03, 0.35740E+02, 0.19780E+03, 0.85500E+03, 0.14990E+01, 0.71700E+03, 0.72800E+03, 0.16010E+03,-0.70800E+03, 0.15250E+04, 0.15250E+04, 0.00000E+00, 0.00000E+00, 0.52820E+01, 0.59100E+01, 0.25510E+01, 0.58000E+01, 0.00000E+00, 0.10000E-02, 0.10000E-02, 0.00000E+00, 0.20800E+02
-0.71900E+03, 0.25210E+02, 0.25020E+02, 0.24770E+02, 0.24400E+02, 0.23540E+02, 0.22920E+02, 0.22290E+02, 0.23160E+02, 0.23160E+02, 0.23040E+02, 0.22920E+02, 0.22790E+02, 0.22670E+02, 0.22540E+02, 0.24090E+02, 0.24160E+02, 0.23850E+02, 0.23290E+02, 0.22360E+02, 0.22290E+02, 0.23780E+02, 0.22730E+02, 0.22670E+02, 0.22790E+02, 0.22670E+02, 0.22670E+02, 0.22670E+02, 0.22600E+02, 0.23780E+02, 0.23600E+02, 0.23410E+02, 0.23290E+02, 0.23230E+02, 0.23160E+02, 0.22670E+02, 0.23290E+02, 0.23230E+02, 0.23230E+02, 0.23290E+02, 0.23160E+02, 0.23040E+02, 0.22790E+02, 0.21670E+02, 0.22480E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.22630E-01, 0.62571E-01, 0.30946E-01, 0.20925E+02, 0.48793E-02, 0.46801E-01, 0.20925E+02, 0.00000E+00, 0.28569E+00, 0.58676E+02, 0.00000E+00, 0.62930E+01, 0.89969E+01,-0.15240E+04, 0.51000E+03, 0.42380E+04, 0.22130E+03, 0.27570E+02, 0.00000E+00,-0.83000E-01, 0.00000E+00,-0.15240E+04, 0.50780E+03, 0.41860E+04, 0.25570E+03, 0.21990E+02,-0.83000E-01,-0.83000E-01,-0.83000E-01,-0.28960E+03,-0.54560E+02, 0.19680E+03,-0.54920E+03, 0.20940E+03,-0.11660E+01, 0.75000E+00, 0.15830E+01,-0.15240E+04, 0.53080E+03, 0.45010E+04, 0.25270E+03, 0.35820E+02, 0.19780E+03, 0.85500E+03, 0.14990E+01, 0.69820E+03, 0.72700E+03, 0.16010E+03,-0.68950E+03, 0.15250E+04, 0.15250E+04, 0.00000E+00, 0.00000E+00, 0.52890E+01, 0.58520E+01, 0.22950E+01, 0.58110E+01, 0.00000E+00, 0.10000E-02, 0.10000E-02, 0.00000E+00, 0.20800E+02
-0.71700E+03, 0.25210E+02, 0.25020E+02, 0.24780E+02, 0.24340E+02, 0.23470E+02, 0.22980E+02, 0.22360E+02, 0.23230E+02, 0.23230E+02, 0.23040E+02, 0.22920E+02, 0.22850E+02, 0.22670E+02, 0.22540E+02, 0.24160E+02, 0.24090E+02, 0.23910E+02, 0.23230E+02, 0.22540E+02, 0.22300E+02, 0.23720E+02, 0.22730E+02, 0.22670E+02, 0.22790E+02, 0.22670E+02, 0.22670E+02, 0.22670E+02, 0.22610E+02, 0.23780E+02, 0.23540E+02, 0.23470E+02, 0.23290E+02, 0.23290E+02, 0.23040E+02, 0.22790E+02, 0.23290E+02, 0.23290E+02, 0.23290E+02, 0.23230E+02, 0.23160E+02, 0.23040E+02, 0.22790E+02, 0.22230E+02, 0.22300E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.38605E-01, 0.43542E-01, 0.38739E-01, 0.20925E+02, 0.60300E-02, 0.46104E-01, 0.20900E+02, 0.00000E+00, 0.28575E+00, 0.58676E+02, 0.00000E+00, 0.62930E+01, 0.89542E+01,-0.15240E+04, 0.50650E+03, 0.43040E+04, 0.22360E+03, 0.27570E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00,-0.15240E+04, 0.50800E+03, 0.42070E+04, 0.26840E+03, 0.22070E+02,-0.83000E-01, 0.00000E+00,-0.83000E-01,-0.27740E+03,-0.57060E+02, 0.17340E+03,-0.54410E+03, 0.20550E+03,-0.11660E+01, 0.58300E+00, 0.20830E+01,-0.15240E+04, 0.52410E+03, 0.44550E+04, 0.24660E+03, 0.35900E+02, 0.19780E+03, 0.85500E+03, 0.20820E+01, 0.66270E+03, 0.68860E+03, 0.15740E+03,-0.74600E+03, 0.15250E+04, 0.15250E+04, 0.00000E+00, 0.00000E+00, 0.52930E+01, 0.58570E+01, 0.25430E+01, 0.57660E+01, 0.00000E+00, 0.10000E-02, 0.10000E-02, 0.00000E+00, 0.20800E+02
-0.71500E+03, 0.25210E+02, 0.25090E+02, 0.24840E+02, 0.24400E+02, 0.23410E+02, 0.22980E+02, 0.22360E+02, 0.23160E+02, 0.23290E+02, 0.22980E+02, 0.22920E+02, 0.22790E+02, 0.22670E+02, 0.22540E+02, 0.24160E+02, 0.24220E+02, 0.23970E+02, 0.23160E+02, 0.22730E+02, 0.22300E+02, 0.23720E+02, 0.22730E+02, 0.22730E+02, 0.22920E+02, 0.22670E+02, 0.22670E+02, 0.22670E+02, 0.22540E+02, 0.23780E+02, 0.23660E+02, 0.23540E+02, 0.23290E+02, 0.23230E+02, 0.23160E+02, 0.22730E+02, 0.23350E+02, 0.23290E+02, 0.23290E+02, 0.23350E+02, 0.23160E+02, 0.22980E+02, 0.22670E+02, 0.21860E+02, 0.22420E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.25293E-01, 0.00000E+00, 0.48281E-01, 0.20925E+02, 0.56464E-02, 0.55905E-01, 0.20925E+02, 0.00000E+00, 0.29161E+00, 0.58676E+02, 0.00000E+00, 0.62869E+01, 0.89285E+01,-0.15240E+04, 0.51100E+03, 0.43200E+04, 0.22720E+03, 0.27660E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00,-0.15240E+04, 0.50650E+03, 0.41890E+04, 0.26080E+03, 0.22070E+02, 0.00000E+00, 0.00000E+00,-0.83000E-01,-0.27800E+03,-0.57060E+02, 0.70700E+02,-0.53090E+03, 0.26630E+03,-0.58300E+00,-0.66600E+00, 0.19990E+01,-0.15240E+04, 0.51710E+03, 0.44760E+04, 0.25570E+03, 0.35900E+02, 0.19830E+03, 0.85400E+03, 0.21660E+01, 0.71100E+03, 0.72200E+03, 0.15720E+03,-0.75300E+03, 0.15250E+04, 0.15250E+04, 0.00000E+00, 0.00000E+00, 0.52670E+01, 0.58720E+01, 0.23910E+01, 0.57560E+01, 0.00000E+00, 0.10000E-02, 0.10000E-02, 0.00000E+00, 0.20800E+02
-0.71300E+03, 0.25150E+02, 0.25020E+02, 0.24900E+02, 0.24280E+02, 0.23470E+02, 0.22980E+02, 0.22420E+02, 0.23100E+02, 0.23290E+02, 0.23040E+02, 0.22920E+02, 0.22790E+02, 0.22670E+02, 0.22540E+02, 0.24160E+02, 0.24090E+02, 0.24030E+02, 0.23230E+02, 0.22730E+02, 0.22420E+02, 0.23850E+02, 0.22670E+02, 0.22670E+02, 0.22920E+02, 0.22670E+02, 0.22670E+02, 0.22670E+02, 0.22540E+02, 0.23850E+02, 0.23660E+02, 0.23540E+02, 0.23410E+02, 0.23290E+02, 0.23100E+02, 0.22790E+02, 0.23230E+02, 0.23290E+02, 0.23350E+02, 0.23290E+02, 0.23100E+02, 0.22920E+02, 0.22670E+02, 0.22230E+02, 0.22230E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.22630E-01, 0.00000E+00, 0.55991E-01, 0.20925E+02, 0.18100E-02, 0.58756E-01, 0.20925E+02, 0.00000E+00, 0.30469E+00, 0.58676E+02, 0.00000E+00, 0.62869E+01, 0.89883E+01,-0.15240E+04, 0.51310E+03, 0.42680E+04, 0.22230E+03, 0.32400E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00,-0.15240E+04, 0.50800E+03, 0.42270E+04, 0.25360E+03, 0.21990E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00,-0.24520E+03,-0.55640E+02, 0.11580E+03,-0.52750E+03, 0.24500E+03,-0.10000E+01,-0.33300E+00, 0.24990E+01,-0.15240E+04, 0.51360E+03, 0.44790E+04, 0.24950E+03, 0.35900E+02, 0.19790E+03, 0.85400E+03, 0.24990E+01, 0.74400E+03, 0.72200E+03, 0.15730E+03,-0.73400E+03, 0.15250E+04, 0.15250E+04, 0.00000E+00, 0.00000E+00, 0.52720E+01, 0.59010E+01, 0.25020E+01, 0.57690E+01, 0.00000E+00, 0.10000E-02, 0.10000E-02, 0.00000E+00, 0.20800E+02
-0.71100E+03, 0.25210E+02, 0.25090E+02, 0.24900E+02, 0.24280E+02, 0.23410E+02, 0.23040E+02, 0.22540E+02, 0.23100E+02, 0.23290E+02, 0.22980E+02, 0.22920E+02, 0.22790E+02, 0.22670E+02, 0.22540E+02, 0.24160E+02, 0.24090E+02, 0.24030E+02, 0.23290E+02, 0.22730E+02, 0.22420E+02, 0.23850E+02, 0.22610E+02, 0.22670E+02, 0.22920E+02, 0.22790E+02, 0.22670E+02, 0.22670E+02, 0.22610E+02, 0.23780E+02, 0.23720E+02, 0.23660E+02, 0.23410E+02, 0.23230E+02, 0.23160E+02, 0.22850E+02, 0.23350E+02, 0.23290E+02, 0.23350E+02, 0.23350E+02, 0.23100E+02, 0.22920E+02, 0.22670E+02, 0.21920E+02, 0.22360E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.10650E-01, 0.66531E-02, 0.56688E-01, 0.20925E+02, 0.00000E+00, 0.53044E-01, 0.20925E+02, 0.00000E+00, 0.31326E+00, 0.58676E+02, 0.00000E+00, 0.62869E+01, 0.90054E+01,-0.15240E+04, 0.51010E+03, 0.43060E+04, 0.22950E+03, 0.32400E+02, 0.00000E+00,-0.83000E-01, 0.00000E+00,-0.15240E+04, 0.50520E+03, 0.42310E+04, 0.26890E+03, 0.21990E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00,-0.25320E+03,-0.53230E+02,-0.14160E+02,-0.51510E+03, 0.36360E+03, 0.41600E+00,-0.11660E+01, 0.50000E+00,-0.15240E+04, 0.51290E+03, 0.44660E+04, 0.25190E+03, 0.35900E+02, 0.21090E+03, 0.84200E+03, 0.83300E+00, 0.73400E+03, 0.74500E+03, 0.15810E+03,-0.73200E+03, 0.15250E+04, 0.15250E+04, 0.00000E+00, 0.00000E+00, 0.52640E+01, 0.58610E+01, 0.24850E+01, 0.57840E+01, 0.00000E+00, 0.10000E-02, 0.10000E-02, 0.00000E+00, 0.20800E+02
