'TIME  ','TCA_1 ','TCA_2 ','TCA_3 ','TCA_4 ','TCA_5 ','TCA_6 ','TCA_7 ','TCB_1 ','TCB_2 ','TCB_3 ','TCB_4 ','TCB_5 ','TCB_6 ','TCB_7 ','TCC_1 ','TCC_2 ','TCC_3 ','TCC_4 ','TCC_5 ','TCC_6 ','TCC_7 ','TCD_1 ','TCD_2 ','TCD_3 ','TCD_4 ','TCD_5 ','TCD_6 ','TCD_7 ','TCE_1 ','TCE_2 ','TCE_3 ','TCE_4 ','TCE_5 ','TCE_6 ','TCE_7 ','TCF_1 ','TCF_2 ','TCF_3 ','TCF_4 ','TCF_5 ','TCF_6 ','TCF_7 ','TCG   ','TCFIRE','SMA_1 ','SMA_4 ','SMC_4 ','SMD_1 ','SMD_4 ','SME_1 ','SME_4 ','SMF_1 ','SMF_4 ','GASA_1','GASA_3','GASA_5','GASC_1','GASC_3','GASC_5','GASF_1','GASF_3','GASF_5','GASB_1','GASB_3','GASB_5','Heat1A','CO2A  ','Ion3A ','Pho1A ','CO3A  ','Pho3A ','Ion4A ','CO1A  ','Heat1C','CO2C  ','Ion3C ','Pho1C ','CO3C  ','Pho3C ','Ion4C ','CO1C  ','Heat1D','CO2D  ','Ion3D ','Pho1D ','CO3D  ','Pho3D ','Ion4D ','CO1D  ','Heat1B','CO2B  ','Ion3B ','Pho1B ','CO3B  ','Pho3B ','Ion4B ','CO1B  ','Asp1A ','Asp1C ','Asp1D ','Asp1E ','Pres_1','Pres_2','SMCO  ','Ion1A ','Ion1C ','Ion1D ','Ion1BE','DiPho2','DiIon2','DiIon4','Load  ','TCRef '
-0.37300E+03, 0.24910E+02, 0.24980E+02, 0.24670E+02, 0.24480E+02, 0.23800E+02, 0.23550E+02, 0.23180E+02, 0.24300E+02, 0.24360E+02, 0.24050E+02, 0.23740E+02, 0.23300E+02, 0.22990E+02, 0.22620E+02, 0.24170E+02, 0.24170E+02, 0.24110E+02, 0.23740E+02, 0.23300E+02, 0.23180E+02, 0.24110E+02, 0.23800E+02, 0.23920E+02, 0.23430E+02, 0.23180E+02, 0.23060E+02, 0.22930E+02, 0.22620E+02, 0.23240E+02, 0.23680E+02, 0.23680E+02, 0.23680E+02, 0.23430E+02, 0.23060E+02, 0.22930E+02, 0.23860E+02, 0.23610E+02, 0.23680E+02, 0.23550E+02, 0.23300E+02, 0.23060E+02, 0.22750E+02, 0.21750E+02, 0.23180E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.50992E-03, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.11318E-01, 0.39984E-01, 0.20925E+02, 0.00000E+00, 0.44340E-01, 0.20950E+02, 0.00000E+00, 0.31304E+00, 0.19422E+02, 0.00000E+00, 0.55204E+01, 0.21117E+02,-0.15240E+04, 0.50720E+03, 0.42800E+04, 0.22010E+03, 0.23070E+02, 0.00000E+00, 0.83000E-01, 0.00000E+00,-0.15240E+04, 0.50280E+03, 0.42340E+04, 0.25450E+03, 0.22070E+02, 0.83000E-01, 0.00000E+00, 0.00000E+00,-0.44650E+02,-0.61980E+02, 0.12940E+03,-0.52600E+03, 0.21620E+03,-0.14160E+01,-0.25000E+00, 0.91600E+00,-0.15240E+04, 0.50800E+03, 0.44480E+04, 0.37650E+03, 0.24240E+02, 0.16330E+03, 0.86600E+03, 0.16700E+00, 0.68190E+03, 0.72200E+03, 0.16020E+03,-0.73200E+03, 0.15240E+04, 0.15250E+04, 0.00000E+00, 0.52050E+01, 0.59690E+01, 0.25970E+01, 0.60400E+01, 0.00000E+00, 0.10000E-02, 0.00000E+00, 0.00000E+00, 0.21190E+02
-0.37100E+03, 0.24850E+02, 0.24910E+02, 0.24730E+02, 0.24540E+02, 0.23800E+02, 0.23550E+02, 0.23180E+02, 0.24290E+02, 0.24360E+02, 0.24050E+02, 0.23740E+02, 0.23240E+02, 0.22990E+02, 0.22680E+02, 0.24170E+02, 0.24230E+02, 0.24110E+02, 0.23800E+02, 0.23300E+02, 0.23180E+02, 0.24170E+02, 0.23740E+02, 0.23920E+02, 0.23430E+02, 0.23180E+02, 0.23050E+02, 0.22930E+02, 0.22560E+02, 0.23180E+02, 0.23670E+02, 0.23670E+02, 0.23670E+02, 0.23360E+02, 0.23120E+02, 0.22930E+02, 0.23920E+02, 0.23670E+02, 0.23550E+02, 0.23550E+02, 0.23300E+02, 0.22990E+02, 0.22680E+02, 0.21810E+02, 0.23120E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.11901E-02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.37641E-01, 0.20925E+02, 0.00000E+00, 0.47267E-01, 0.20950E+02, 0.00000E+00, 0.32266E+00, 0.19422E+02, 0.00000E+00, 0.55258E+01, 0.21075E+02,-0.15240E+04, 0.50810E+03, 0.43180E+04, 0.21720E+03, 0.23070E+02, 0.83000E-01, 0.00000E+00, 0.83000E-01,-0.15240E+04, 0.50460E+03, 0.42570E+04, 0.23440E+03, 0.22160E+02, 0.00000E+00, 0.83000E-01, 0.00000E+00,-0.10150E+03,-0.51150E+02, 0.83400E+02,-0.51390E+03, 0.26700E+03,-0.83300E+00,-0.75000E+00, 0.75000E+00,-0.15240E+04, 0.50580E+03, 0.44440E+04, 0.36990E+03, 0.24240E+02, 0.16350E+03, 0.86600E+03,-0.16700E+00, 0.68970E+03, 0.72100E+03, 0.15910E+03,-0.71500E+03, 0.15240E+04, 0.15240E+04, 0.00000E+00, 0.52250E+01, 0.59780E+01, 0.24190E+01, 0.60410E+01, 0.00000E+00, 0.10000E-02, 0.00000E+00, 0.00000E+00, 0.21190E+02
-0.36900E+03, 0.24850E+02, 0.24980E+02, 0.24670E+02, 0.24480E+02, 0.23800E+02, 0.23550E+02, 0.23180E+02, 0.24360E+02, 0.24300E+02, 0.24110E+02, 0.23680E+02, 0.23300E+02, 0.22990E+02, 0.22680E+02, 0.24170E+02, 0.24230E+02, 0.24110E+02, 0.23740E+02, 0.23300E+02, 0.23180E+02, 0.24170E+02, 0.23740E+02, 0.23860E+02, 0.23550E+02, 0.23180E+02, 0.23060E+02, 0.22870E+02, 0.22560E+02, 0.23180E+02, 0.23680E+02, 0.23680E+02, 0.23610E+02, 0.23430E+02, 0.23060E+02, 0.22870E+02, 0.23920E+02, 0.23550E+02, 0.23610E+02, 0.23550E+02, 0.23300E+02, 0.23060E+02, 0.22750E+02, 0.21690E+02, 0.23180E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.35731E-02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.42243E-01, 0.20925E+02, 0.41152E-02, 0.43142E-01, 0.20950E+02, 0.00000E+00, 0.33027E+00, 0.19422E+02, 0.00000E+00, 0.55258E+01, 0.21033E+02,-0.15240E+04, 0.50800E+03, 0.42860E+04, 0.20950E+03, 0.23070E+02, 0.83000E-01, 0.83000E-01, 0.83000E-01,-0.15240E+04, 0.50400E+03, 0.42240E+04, 0.25800E+03, 0.22160E+02, 0.83000E-01, 0.83000E-01, 0.83000E-01,-0.21550E+03,-0.50980E+02, 0.18440E+03,-0.50750E+03, 0.21300E+03,-0.10830E+01, 0.10000E+01, 0.10830E+01,-0.15240E+04, 0.50540E+03, 0.43490E+04, 0.36290E+03, 0.24240E+02, 0.16300E+03, 0.87900E+03, 0.75000E+00, 0.69560E+03, 0.72800E+03, 0.15940E+03,-0.70600E+03, 0.15240E+04, 0.15250E+04, 0.00000E+00, 0.52120E+01, 0.59930E+01, 0.25930E+01, 0.60080E+01, 0.00000E+00, 0.10000E-02, 0.00000E+00, 0.00000E+00, 0.21190E+02
-0.36700E+03, 0.24850E+02, 0.24920E+02, 0.24730E+02, 0.24420E+02, 0.23800E+02, 0.23550E+02, 0.23180E+02, 0.24360E+02, 0.24300E+02, 0.24050E+02, 0.23680E+02, 0.23300E+02, 0.23060E+02, 0.22680E+02, 0.24230E+02, 0.24170E+02, 0.24050E+02, 0.23740E+02, 0.23300E+02, 0.23180E+02, 0.24230E+02, 0.23800E+02, 0.23920E+02, 0.23550E+02, 0.23180E+02, 0.23060E+02, 0.22930E+02, 0.22560E+02, 0.23180E+02, 0.23680E+02, 0.23680E+02, 0.23680E+02, 0.23310E+02, 0.23120E+02, 0.22930E+02, 0.23860E+02, 0.23620E+02, 0.23620E+02, 0.23490E+02, 0.23300E+02, 0.22990E+02, 0.22750E+02, 0.21820E+02, 0.23120E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.25514E-02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.45534E-01, 0.20925E+02, 0.44313E-02, 0.40665E-01, 0.20950E+02, 0.00000E+00, 0.34038E+00, 0.19403E+02, 0.00000E+00, 0.55149E+01, 0.21138E+02,-0.15240E+04, 0.50500E+03, 0.42650E+04, 0.20140E+03, 0.23160E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00,-0.15240E+04, 0.50170E+03, 0.42000E+04, 0.23780E+03, 0.22240E+02, 0.83000E-01, 0.83000E-01, 0.83000E-01,-0.38650E+03,-0.61060E+02, 0.35990E+02,-0.50050E+03, 0.31150E+03,-0.58300E+00,-0.10830E+01, 0.16700E+00,-0.15240E+04, 0.50590E+03, 0.44010E+04, 0.38580E+03, 0.24240E+02, 0.16340E+03, 0.87800E+03,-0.83000E-01, 0.70600E+03, 0.70500E+03, 0.15760E+03,-0.73200E+03, 0.15240E+04, 0.15240E+04, 0.00000E+00, 0.52310E+01, 0.59920E+01, 0.23840E+01, 0.60280E+01, 0.00000E+00, 0.10000E-02, 0.00000E+00, 0.00000E+00, 0.21190E+02
-0.36500E+03, 0.24850E+02, 0.24920E+02, 0.24730E+02, 0.24420E+02, 0.23800E+02, 0.23550E+02, 0.23180E+02, 0.24300E+02, 0.24300E+02, 0.24050E+02, 0.23680E+02, 0.23300E+02, 0.22990E+02, 0.22680E+02, 0.24300E+02, 0.24170E+02, 0.24050E+02, 0.23740E+02, 0.23300E+02, 0.23120E+02, 0.24300E+02, 0.23800E+02, 0.23920E+02, 0.23490E+02, 0.23180E+02, 0.23060E+02, 0.22930E+02, 0.22560E+02, 0.23180E+02, 0.23680E+02, 0.23680E+02, 0.23680E+02, 0.23550E+02, 0.23060E+02, 0.22870E+02, 0.23920E+02, 0.23550E+02, 0.23610E+02, 0.23550E+02, 0.23300E+02, 0.23060E+02, 0.22750E+02, 0.21690E+02, 0.23240E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.50992E-03, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.10113E-02, 0.97822E-02, 0.51521E-01, 0.20925E+02, 0.00000E+00, 0.42467E-01, 0.20950E+02, 0.00000E+00, 0.32826E+00, 0.19413E+02, 0.00000E+00, 0.55204E+01, 0.21138E+02,-0.15240E+04, 0.50600E+03, 0.42880E+04, 0.21520E+03, 0.23160E+02, 0.83000E-01, 0.83000E-01, 0.83000E-01,-0.15240E+04, 0.50600E+03, 0.42430E+04, 0.24470E+03, 0.22240E+02, 0.83000E-01, 0.83000E-01, 0.00000E+00,-0.34460E+03,-0.65720E+02, 0.16330E+03,-0.50100E+03, 0.22280E+03,-0.13330E+01, 0.41700E+00, 0.12500E+01,-0.15240E+04, 0.50530E+03, 0.43990E+04, 0.37920E+03, 0.24240E+02, 0.16280E+03, 0.87900E+03, 0.83300E+00, 0.65810E+03, 0.70900E+03, 0.15720E+03,-0.68910E+03, 0.15240E+04, 0.15250E+04, 0.00000E+00, 0.52470E+01, 0.59830E+01, 0.26030E+01, 0.60520E+01, 0.00000E+00, 0.10000E-02, 0.00000E+00, 0.00000E+00, 0.21190E+02
-0.36300E+03, 0.24920E+02, 0.24920E+02, 0.24730E+02, 0.24420E+02, 0.23740E+02, 0.23550E+02, 0.23180E+02, 0.24300E+02, 0.24300E+02, 0.24050E+02, 0.23800E+02, 0.23300E+02, 0.22990E+02, 0.22680E+02, 0.24300E+02, 0.24170E+02, 0.24170E+02, 0.23740E+02, 0.23300E+02, 0.23180E+02, 0.24300E+02, 0.23860E+02, 0.23930E+02, 0.23490E+02, 0.23180E+02, 0.23060E+02, 0.22870E+02, 0.22500E+02, 0.23120E+02, 0.23680E+02, 0.23680E+02, 0.23620E+02, 0.23430E+02, 0.23120E+02, 0.22930E+02, 0.23930E+02, 0.23550E+02, 0.23620E+02, 0.23550E+02, 0.23300E+02, 0.22990E+02, 0.22750E+02, 0.21880E+02, 0.23120E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.27217E-02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.26100E-01, 0.44409E-01, 0.20925E+02, 0.00000E+00, 0.41791E-01, 0.20950E+02, 0.00000E+00, 0.34598E+00, 0.19403E+02, 0.00000E+00, 0.55094E+01, 0.21013E+02,-0.15240E+04, 0.50490E+03, 0.42210E+04, 0.21400E+03, 0.23070E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00,-0.15240E+04, 0.50260E+03, 0.41980E+04, 0.25010E+03, 0.22240E+02, 0.83000E-01, 0.00000E+00, 0.00000E+00,-0.28220E+03,-0.61560E+02,-0.31570E+02,-0.49590E+03, 0.45710E+03, 0.17490E+01,-0.50000E+00,-0.13330E+01,-0.15240E+04, 0.50640E+03, 0.43830E+04, 0.37240E+03, 0.24240E+02, 0.16520E+03, 0.87800E+03,-0.83300E+00, 0.71300E+03, 0.73300E+03, 0.15720E+03,-0.72400E+03, 0.15250E+04, 0.15250E+04, 0.00000E+00, 0.52230E+01, 0.59640E+01, 0.25960E+01, 0.60740E+01, 0.00000E+00, 0.10000E-02, 0.00000E+00, 0.00000E+00, 0.21190E+02
-0.36100E+03, 0.24920E+02, 0.24920E+02, 0.24730E+02, 0.24420E+02, 0.23740E+02, 0.23550E+02, 0.23240E+02, 0.24360E+02, 0.24300E+02, 0.24050E+02, 0.23680E+02, 0.23310E+02, 0.23000E+02, 0.22690E+02, 0.24300E+02, 0.24170E+02, 0.24110E+02, 0.23800E+02, 0.23310E+02, 0.23180E+02, 0.24300E+02, 0.23930E+02, 0.23930E+02, 0.23550E+02, 0.23180E+02, 0.23060E+02, 0.22870E+02, 0.22500E+02, 0.23180E+02, 0.23620E+02, 0.23680E+02, 0.23620E+02, 0.23490E+02, 0.23060E+02, 0.22810E+02, 0.23930E+02, 0.23550E+02, 0.23680E+02, 0.23550E+02, 0.23240E+02, 0.23060E+02, 0.22810E+02, 0.21630E+02, 0.23240E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.42548E-02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.15718E-01, 0.38682E-01, 0.20925E+02, 0.44374E-03, 0.44412E-01, 0.20950E+02, 0.00000E+00, 0.32771E+00, 0.19422E+02, 0.00000E+00, 0.55204E+01, 0.21013E+02,-0.15240E+04, 0.50700E+03, 0.42220E+04, 0.20330E+03, 0.23070E+02, 0.00000E+00, 0.83000E-01, 0.00000E+00,-0.15240E+04, 0.50530E+03, 0.41600E+04, 0.25280E+03, 0.22240E+02, 0.00000E+00, 0.83000E-01, 0.00000E+00,-0.19120E+03,-0.54980E+02, 0.48310E+01,-0.50240E+03, 0.34310E+03, 0.16700E+00,-0.13330E+01,-0.41700E+00,-0.15240E+04, 0.50600E+03, 0.44200E+04, 0.36560E+03, 0.24240E+02, 0.16370E+03, 0.86600E+03,-0.33300E+00, 0.74700E+03, 0.72300E+03, 0.15710E+03,-0.73200E+03, 0.15240E+04, 0.15250E+04, 0.00000E+00, 0.52220E+01, 0.59480E+01, 0.25110E+01, 0.60490E+01, 0.00000E+00, 0.10000E-02, 0.10000E-02, 0.00000E+00, 0.21200E+02
-0.35900E+03, 0.24790E+02, 0.24920E+02, 0.24730E+02, 0.24420E+02, 0.23680E+02, 0.23550E+02, 0.23180E+02, 0.24360E+02, 0.24240E+02, 0.23930E+02, 0.23800E+02, 0.23310E+02, 0.23000E+02, 0.22680E+02, 0.24240E+02, 0.24170E+02, 0.24170E+02, 0.23800E+02, 0.23310E+02, 0.23180E+02, 0.24300E+02, 0.23860E+02, 0.24050E+02, 0.23550E+02, 0.23310E+02, 0.23060E+02, 0.22930E+02, 0.22560E+02, 0.23240E+02, 0.23620E+02, 0.23740E+02, 0.23620E+02, 0.23310E+02, 0.23060E+02, 0.22930E+02, 0.23990E+02, 0.23550E+02, 0.23620E+02, 0.23490E+02, 0.23310E+02, 0.23000E+02, 0.22810E+02, 0.21880E+02, 0.23180E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.37435E-02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.43368E-01, 0.20925E+02, 0.38067E-03, 0.46520E-01, 0.20950E+02, 0.00000E+00, 0.35006E+00, 0.19431E+02, 0.00000E+00, 0.55094E+01, 0.21138E+02,-0.15240E+04, 0.50900E+03, 0.42440E+04, 0.21680E+03, 0.23070E+02, 0.00000E+00, 0.83000E-01, 0.83000E-01,-0.15240E+04, 0.50550E+03, 0.42100E+04, 0.24590E+03, 0.22070E+02, 0.83000E-01, 0.00000E+00, 0.83000E-01,-0.36920E+03,-0.60640E+02,-0.19410E+02,-0.49770E+03, 0.41020E+03, 0.10830E+01,-0.10830E+01,-0.10830E+01,-0.15240E+04, 0.50710E+03, 0.44490E+04, 0.38860E+03, 0.24240E+02, 0.16530E+03, 0.87800E+03,-0.83300E+00, 0.75000E+03, 0.69620E+03, 0.15480E+03,-0.72600E+03, 0.15240E+04, 0.15240E+04, 0.00000E+00, 0.52200E+01, 0.59750E+01, 0.25910E+01, 0.60400E+01, 0.00000E+00, 0.10000E-02, 0.00000E+00, 0.00000E+00, 0.21190E+02
-0.35700E+03, 0.24860E+02, 0.24920E+02, 0.24730E+02, 0.24420E+02, 0.23740E+02, 0.23550E+02, 0.23180E+02, 0.24420E+02, 0.24300E+02, 0.24050E+02, 0.23800E+02, 0.23310E+02, 0.23000E+02, 0.22690E+02, 0.24240E+02, 0.24110E+02, 0.24170E+02, 0.23800E+02, 0.23310E+02, 0.23180E+02, 0.24360E+02, 0.23860E+02, 0.23930E+02, 0.23550E+02, 0.23310E+02, 0.23060E+02, 0.22930E+02, 0.22560E+02, 0.23310E+02, 0.23550E+02, 0.23680E+02, 0.23620E+02, 0.23430E+02, 0.23060E+02, 0.22810E+02, 0.24050E+02, 0.23550E+02, 0.23620E+02, 0.23430E+02, 0.23180E+02, 0.23060E+02, 0.22810E+02, 0.21570E+02, 0.23180E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.33996E-03, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.43805E-01, 0.20925E+02, 0.53172E-02, 0.41494E-01, 0.20950E+02, 0.00000E+00, 0.34342E+00, 0.19441E+02, 0.00000E+00, 0.55204E+01, 0.21138E+02,-0.15240E+04, 0.50800E+03, 0.42530E+04, 0.22040E+03, 0.23070E+02, 0.83000E-01, 0.00000E+00, 0.83000E-01,-0.15240E+04, 0.50560E+03, 0.42140E+04, 0.25220E+03, 0.22240E+02, 0.83000E-01, 0.83000E-01, 0.83000E-01,-0.32450E+03,-0.63970E+02, 0.10180E+03,-0.50750E+03, 0.25070E+03,-0.66600E+00,-0.83300E+00, 0.50000E+00,-0.15240E+04, 0.50860E+03, 0.44400E+04, 0.38210E+03, 0.24240E+02, 0.16320E+03, 0.86600E+03, 0.16700E+00, 0.70300E+03, 0.72200E+03, 0.15570E+03,-0.73200E+03, 0.15240E+04, 0.15240E+04, 0.00000E+00, 0.52280E+01, 0.59710E+01, 0.25660E+01, 0.60090E+01, 0.00000E+00, 0.10000E-02, 0.00000E+00, 0.00000E+00, 0.21200E+02
-0.35500E+03, 0.24790E+02, 0.24920E+02, 0.24730E+02, 0.24420E+02, 0.23800E+02, 0.23620E+02, 0.23180E+02, 0.24420E+02, 0.24300E+02, 0.23930E+02, 0.23800E+02, 0.23310E+02, 0.23000E+02, 0.22690E+02, 0.24240E+02, 0.24170E+02, 0.24110E+02, 0.23800E+02, 0.23310E+02, 0.23180E+02, 0.24360E+02, 0.23860E+02, 0.23990E+02, 0.23430E+02, 0.23310E+02, 0.23060E+02, 0.22930E+02, 0.22560E+02, 0.23310E+02, 0.23620E+02, 0.23740E+02, 0.23620E+02, 0.23370E+02, 0.23060E+02, 0.22930E+02, 0.23990E+02, 0.23550E+02, 0.23620E+02, 0.23430E+02, 0.23310E+02, 0.23060E+02, 0.22810E+02, 0.21880E+02, 0.23120E+02, 0.00000E+00, 0.00000E+00, 0.23982E-02, 0.00000E+00, 0.80096E-02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.92875E-02, 0.50563E-01, 0.20925E+02, 0.43051E-02, 0.41863E-01, 0.20950E+02, 0.00000E+00, 0.36681E+00, 0.19431E+02, 0.00000E+00, 0.55149E+01, 0.21033E+02,-0.15240E+04, 0.50930E+03, 0.42480E+04, 0.21190E+03, 0.23160E+02, 0.00000E+00, 0.83000E-01, 0.83000E-01,-0.15240E+04, 0.50560E+03, 0.41870E+04, 0.25440E+03, 0.22160E+02, 0.83000E-01, 0.00000E+00, 0.83000E-01,-0.28200E+03,-0.61980E+02, 0.12830E+02,-0.50130E+03, 0.35970E+03, 0.41700E+00,-0.12500E+01,-0.50000E+00,-0.15240E+04, 0.50820E+03, 0.44100E+04, 0.37530E+03, 0.24240E+02, 0.16390E+03, 0.86600E+03,-0.33300E+00, 0.75000E+03, 0.72700E+03, 0.15590E+03,-0.76700E+03, 0.15250E+04, 0.15250E+04, 0.00000E+00, 0.52090E+01, 0.59930E+01, 0.25320E+01, 0.60450E+01, 0.00000E+00, 0.10000E-02, 0.00000E+00, 0.00000E+00, 0.21200E+02
