'TIME  ','TCA_1 ','TCA_2 ','TCA_3 ','TCA_4 ','TCA_5 ','TCA_6 ','TCA_7 ','TCB_1 ','TCB_2 ','TCB_3 ','TCB_4 ','TCB_5 ','TCB_6 ','TCB_7 ','TCC_1 ','TCC_2 ','TCC_3 ','TCC_4 ','TCC_5 ','TCC_6 ','TCC_7 ','TCD_1 ','TCD_2 ','TCD_3 ','TCD_4 ','TCD_5 ','TCD_6 ','TCD_7 ','TCE_1 ','TCE_2 ','TCE_3 ','TCE_4 ','TCE_5 ','TCE_6 ','TCE_7 ','TCF_1 ','TCF_2 ','TCF_3 ','TCF_4 ','TCF_5 ','TCF_6 ','TCF_7 ','TCG   ','TCFIRE','SMA_1 ','SMA_4 ','SMC_4 ','SMD_1 ','SMD_4 ','SME_1 ','SME_4 ','SMF_1 ','SMF_4 ','GASA_1','GASA_3','GASA_5','GASC_1','GASC_3','GASC_5','GASF_1','GASF_3','GASF_5','GASB_1','GASB_3','GASB_5','Heat1A','CO2A  ','Ion3A ','Pho1A ','CO3A  ','Pho3A ','Ion4A ','CO1A  ','Heat1C','CO2C  ','Ion3C ','Pho1C ','CO3C  ','Pho3C ','Ion4C ','CO1C  ','Heat1D','CO2D  ','Ion3D ','Pho1D ','CO3D  ','Pho3D ','Ion4D ','CO1D  ','Heat1B','CO2B  ','Ion3B ','Pho1B ','CO3B  ','Pho3B ','Ion4B ','CO1B  ','Asp1A ','Asp1C ','Asp1D ','Asp1E ','Pres_1','Pres_2','SMG   ','SMCO  ','Ion1A ','Ion1C ','Ion1D ','Ion1BE','DiPho2','DiIon2','DiIon4','Load  ','TCRef '
-0.81500E+03, 0.27430E+02, 0.27310E+02, 0.27120E+02, 0.26690E+02, 0.25760E+02, 0.25510E+02, 0.25200E+02, 0.27800E+02, 0.27800E+02, 0.27610E+02, 0.27310E+02, 0.26190E+02, 0.25640E+02, 0.24950E+02, 0.26750E+02, 0.26190E+02, 0.26250E+02, 0.26130E+02, 0.25640E+02, 0.24640E+02, 0.26810E+02, 0.27310E+02, 0.27310E+02, 0.27430E+02, 0.25820E+02, 0.25080E+02, 0.24830E+02, 0.24770E+02, 0.26250E+02, 0.26500E+02, 0.26560E+02, 0.26250E+02, 0.25700E+02, 0.25080E+02, 0.24830E+02, 0.26750E+02, 0.26750E+02, 0.26750E+02, 0.25940E+02, 0.25330E+02, 0.25020E+02, 0.24890E+02, 0.25080E+02, 0.24580E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.14842E-01, 0.36778E-02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.13253E-01, 0.60844E-01, 0.20950E+02, 0.47700E-02, 0.60742E-01, 0.20950E+02, 0.42471E-01, 0.35989E+00, 0.20984E+02, 0.21760E-01, 0.46274E+00, 0.20846E+02,-0.15240E+04, 0.51660E+03, 0.42520E+04, 0.20830E+03, 0.27830E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00,-0.15240E+04, 0.51350E+03, 0.41410E+04, 0.24430E+03, 0.22240E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00,-0.78200E+02,-0.49320E+02, 0.10560E+03,-0.49560E+03, 0.24890E+03,-0.10000E+01,-0.58300E+00, 0.58300E+00,-0.15240E+04, 0.51720E+03, 0.43050E+04, 0.29930E+03, 0.24410E+02, 0.23340E+03, 0.90100E+03, 0.33300E+00, 0.70100E+03, 0.76500E+03, 0.15850E+03,-0.71500E+03, 0.15250E+04, 0.15250E+04, 0.13030E-02, 0.00000E+00, 0.52460E+01, 0.60470E+01, 0.24030E+01, 0.60920E+01, 0.00000E+00, 0.10000E-02, 0.00000E+00, 0.00000E+00, 0.23900E+02
-0.81300E+03, 0.27370E+02, 0.27300E+02, 0.27120E+02, 0.26810E+02, 0.25760E+02, 0.25450E+02, 0.25200E+02, 0.27800E+02, 0.27860E+02, 0.27610E+02, 0.27300E+02, 0.26190E+02, 0.25700E+02, 0.25010E+02, 0.26750E+02, 0.26250E+02, 0.26190E+02, 0.26130E+02, 0.25630E+02, 0.24580E+02, 0.26810E+02, 0.27180E+02, 0.27300E+02, 0.27300E+02, 0.25820E+02, 0.25080E+02, 0.24830E+02, 0.24700E+02, 0.26250E+02, 0.26560E+02, 0.26440E+02, 0.26250E+02, 0.25700E+02, 0.25080E+02, 0.24700E+02, 0.26690E+02, 0.26750E+02, 0.26620E+02, 0.26000E+02, 0.25320E+02, 0.25080E+02, 0.24890E+02, 0.25260E+02, 0.24520E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.86575E-02, 0.45985E-02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.10725E-01, 0.58597E-01, 0.20950E+02, 0.47153E-02, 0.60222E-01, 0.20975E+02, 0.38348E-01, 0.36742E+00, 0.20967E+02, 0.21575E-01, 0.43998E+00, 0.20924E+02,-0.15240E+04, 0.51920E+03, 0.42480E+04, 0.21260E+03, 0.27820E+02, 0.83000E-01, 0.00000E+00, 0.00000E+00,-0.15240E+04, 0.51530E+03, 0.41840E+04, 0.25220E+03, 0.22240E+02, 0.00000E+00, 0.83000E-01, 0.00000E+00,-0.12650E+03,-0.43400E+02, 0.18990E+03,-0.50650E+03, 0.24820E+03,-0.41700E+00, 0.14990E+01, 0.50000E+00,-0.15240E+04, 0.51700E+03, 0.42850E+04, 0.27910E+03, 0.28990E+02, 0.23350E+03, 0.90200E+03, 0.83300E+00, 0.73400E+03, 0.69530E+03, 0.15680E+03,-0.72700E+03, 0.15250E+04, 0.15250E+04, 0.00000E+00, 0.00000E+00, 0.52560E+01, 0.60310E+01, 0.25650E+01, 0.61050E+01, 0.00000E+00, 0.10000E-02, 0.00000E+00, 0.00000E+00, 0.23900E+02
-0.81100E+03, 0.27370E+02, 0.27310E+02, 0.27180E+02, 0.26810E+02, 0.25820E+02, 0.25450E+02, 0.25200E+02, 0.27800E+02, 0.27800E+02, 0.27550E+02, 0.27180E+02, 0.26190E+02, 0.25640E+02, 0.24950E+02, 0.26750E+02, 0.26250E+02, 0.26250E+02, 0.26130E+02, 0.25640E+02, 0.24580E+02, 0.26870E+02, 0.27240E+02, 0.27370E+02, 0.27180E+02, 0.25700E+02, 0.25020E+02, 0.24890E+02, 0.24710E+02, 0.26250E+02, 0.26500E+02, 0.26500E+02, 0.26250E+02, 0.25570E+02, 0.25080E+02, 0.24520E+02, 0.26690E+02, 0.26810E+02, 0.26630E+02, 0.26130E+02, 0.25390E+02, 0.25020E+02, 0.24830E+02, 0.25390E+02, 0.24460E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.11131E-01, 0.45985E-02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.50558E-02, 0.56422E-01, 0.20950E+02, 0.47700E-02, 0.60825E-01, 0.20975E+02, 0.39035E-01, 0.35736E+00, 0.20958E+02, 0.23630E-01, 0.44757E+00, 0.20846E+02,-0.15240E+04, 0.51550E+03, 0.42500E+04, 0.20690E+03, 0.27740E+02, 0.83000E-01, 0.00000E+00, 0.00000E+00,-0.15240E+04, 0.51510E+03, 0.41590E+04, 0.25420E+03, 0.22080E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00,-0.24990E+03,-0.48490E+02, 0.13380E+03,-0.50250E+03, 0.22930E+03,-0.13330E+01,-0.16700E+00, 0.83300E+00,-0.15240E+04, 0.51740E+03, 0.43230E+04, 0.27230E+03, 0.29070E+02, 0.23350E+03, 0.90100E+03, 0.00000E+00, 0.72800E+03, 0.66810E+03, 0.15330E+03,-0.73800E+03, 0.15250E+04, 0.15250E+04, 0.39087E-02, 0.00000E+00, 0.52570E+01, 0.60330E+01, 0.24470E+01, 0.61010E+01, 0.00000E+00, 0.10000E-02, 0.00000E+00, 0.00000E+00, 0.23900E+02
-0.80900E+03, 0.27370E+02, 0.27370E+02, 0.27120E+02, 0.26810E+02, 0.25760E+02, 0.25510E+02, 0.25260E+02, 0.27800E+02, 0.27860E+02, 0.27550E+02, 0.27180E+02, 0.26190E+02, 0.25640E+02, 0.24890E+02, 0.26630E+02, 0.26250E+02, 0.26190E+02, 0.26130E+02, 0.25570E+02, 0.24580E+02, 0.26870E+02, 0.27180E+02, 0.27370E+02, 0.27180E+02, 0.25880E+02, 0.25020E+02, 0.24890E+02, 0.24640E+02, 0.26190E+02, 0.26500E+02, 0.26440E+02, 0.26190E+02, 0.25510E+02, 0.25020E+02, 0.24520E+02, 0.26690E+02, 0.26810E+02, 0.26560E+02, 0.26130E+02, 0.25390E+02, 0.25020E+02, 0.24950E+02, 0.25260E+02, 0.24580E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.11131E-01, 0.36778E-02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.20619E-01, 0.58763E-01, 0.20950E+02, 0.63573E-02, 0.59525E-01, 0.20975E+02, 0.33704E-01, 0.35284E+00, 0.20712E+02, 0.24143E-01, 0.43240E+00, 0.20924E+02,-0.15240E+04, 0.51450E+03, 0.42150E+04, 0.21130E+03, 0.27820E+02, 0.00000E+00, 0.00000E+00, 0.83000E-01,-0.15240E+04, 0.51400E+03, 0.41480E+04, 0.25280E+03, 0.22160E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00,-0.23180E+03,-0.49400E+02, 0.17820E+03,-0.50620E+03, 0.24180E+03,-0.41700E+00, 0.14160E+01, 0.58300E+00,-0.15240E+04, 0.51750E+03, 0.43510E+04, 0.29290E+03, 0.28990E+02, 0.23340E+03, 0.90200E+03, 0.83300E+00, 0.73200E+03, 0.73700E+03, 0.15610E+03,-0.72300E+03, 0.15250E+04, 0.15250E+04, 0.00000E+00, 0.00000E+00, 0.52840E+01, 0.60050E+01, 0.25830E+01, 0.61080E+01, 0.00000E+00, 0.10000E-02, 0.00000E+00, 0.00000E+00, 0.23900E+02
-0.80700E+03, 0.27430E+02, 0.27310E+02, 0.27120E+02, 0.26810E+02, 0.25820E+02, 0.25450E+02, 0.25200E+02, 0.27800E+02, 0.27800E+02, 0.27610E+02, 0.27180E+02, 0.26190E+02, 0.25640E+02, 0.24950E+02, 0.26690E+02, 0.26250E+02, 0.26320E+02, 0.26070E+02, 0.25570E+02, 0.24640E+02, 0.26870E+02, 0.27180E+02, 0.27310E+02, 0.27240E+02, 0.25760E+02, 0.25080E+02, 0.24890E+02, 0.24640E+02, 0.26190E+02, 0.26500E+02, 0.26500E+02, 0.26190E+02, 0.25450E+02, 0.25080E+02, 0.24710E+02, 0.26690E+02, 0.26750E+02, 0.26500E+02, 0.26190E+02, 0.25450E+02, 0.25080E+02, 0.24950E+02, 0.25330E+02, 0.24580E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.13605E-01, 0.27576E-02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.21167E-01, 0.56599E-01, 0.20950E+02, 0.57025E-02, 0.57361E-01, 0.20975E+02, 0.27515E-01, 0.34832E+00, 0.20678E+02, 0.21575E-01, 0.43998E+00, 0.20846E+02,-0.15240E+04, 0.51430E+03, 0.42560E+04, 0.21260E+03, 0.27830E+02, 0.83000E-01, 0.00000E+00, 0.00000E+00,-0.15240E+04, 0.51520E+03, 0.41520E+04, 0.25470E+03, 0.22160E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00,-0.16780E+03,-0.47070E+02, 0.15100E+03,-0.50480E+03, 0.21740E+03,-0.14160E+01, 0.16700E+00, 0.10000E+01,-0.15240E+04, 0.51840E+03, 0.43250E+04, 0.28580E+03, 0.29160E+02, 0.23300E+03, 0.90200E+03, 0.75000E+00, 0.71800E+03, 0.65490E+03, 0.15250E+03,-0.73000E+03, 0.15250E+04, 0.15250E+04, 0.00000E+00, 0.00000E+00, 0.53180E+01, 0.60260E+01, 0.23550E+01, 0.61010E+01, 0.00000E+00, 0.10000E-02, 0.00000E+00, 0.00000E+00, 0.23900E+02
-0.80500E+03, 0.27430E+02, 0.27310E+02, 0.27060E+02, 0.26870E+02, 0.25820E+02, 0.25450E+02, 0.25200E+02, 0.27800E+02, 0.27860E+02, 0.27610E+02, 0.27240E+02, 0.26190E+02, 0.25630E+02, 0.24890E+02, 0.26690E+02, 0.26250E+02, 0.26250E+02, 0.26070E+02, 0.25510E+02, 0.24580E+02, 0.26870E+02, 0.27180E+02, 0.27310E+02, 0.27310E+02, 0.25760E+02, 0.25020E+02, 0.24890E+02, 0.24710E+02, 0.26250E+02, 0.26500E+02, 0.26440E+02, 0.26190E+02, 0.25450E+02, 0.25080E+02, 0.24580E+02, 0.26810E+02, 0.26750E+02, 0.26500E+02, 0.26250E+02, 0.25450E+02, 0.25080E+02, 0.24950E+02, 0.24710E+02, 0.24890E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.11131E-01, 0.27576E-02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.10230E-01, 0.57463E-01, 0.20950E+02, 0.42770E-02, 0.58838E-01, 0.20975E+02, 0.27860E-01, 0.33332E+00, 0.20814E+02, 0.14568E-01, 0.43240E+00, 0.20846E+02,-0.15240E+04, 0.51540E+03, 0.42240E+04, 0.20920E+03, 0.27830E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00,-0.15240E+04, 0.51540E+03, 0.41480E+04, 0.23720E+03, 0.22160E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00,-0.14590E+03,-0.44150E+02, 0.97400E+02,-0.49490E+03, 0.24650E+03,-0.11660E+01,-0.50000E+00, 0.66600E+00,-0.15240E+04, 0.51760E+03, 0.43630E+04, 0.29750E+03, 0.28990E+02, 0.23320E+03, 0.90100E+03, 0.33300E+00, 0.70400E+03, 0.72500E+03, 0.15430E+03,-0.73500E+03, 0.15250E+04, 0.15250E+04, 0.00000E+00, 0.00000E+00, 0.52810E+01, 0.59610E+01, 0.26100E+01, 0.61000E+01, 0.00000E+00, 0.10000E-02, 0.00000E+00, 0.00000E+00, 0.23900E+02
-0.80300E+03, 0.27370E+02, 0.27310E+02, 0.27120E+02, 0.26810E+02, 0.25880E+02, 0.25510E+02, 0.25140E+02, 0.27860E+02, 0.27860E+02, 0.27620E+02, 0.27250E+02, 0.26260E+02, 0.25640E+02, 0.25020E+02, 0.26750E+02, 0.26260E+02, 0.26260E+02, 0.25950E+02, 0.25510E+02, 0.24580E+02, 0.26870E+02, 0.27180E+02, 0.27310E+02, 0.27310E+02, 0.25700E+02, 0.25080E+02, 0.24890E+02, 0.24710E+02, 0.26260E+02, 0.26500E+02, 0.26440E+02, 0.26190E+02, 0.25450E+02, 0.25080E+02, 0.24710E+02, 0.26750E+02, 0.26870E+02, 0.26570E+02, 0.26260E+02, 0.25450E+02, 0.25080E+02, 0.24890E+02, 0.25270E+02, 0.24770E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.11131E-01, 0.27576E-02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.15339E-01, 0.60064E-01, 0.20950E+02, 0.57571E-02, 0.57444E-01, 0.20975E+02, 0.27860E-01, 0.34886E+00, 0.20933E+02, 0.14568E-01, 0.41723E+00, 0.20898E+02,-0.15240E+04, 0.51610E+03, 0.42050E+04, 0.17480E+03, 0.23160E+02, 0.00000E+00, 0.00000E+00, 0.83000E-01,-0.15240E+04, 0.51720E+03, 0.42030E+04, 0.24500E+03, 0.22160E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00,-0.33190E+03,-0.51730E+02,-0.43240E+02,-0.49530E+03, 0.41180E+03, 0.83300E+00,-0.13330E+01,-0.75000E+00,-0.15240E+04, 0.51560E+03, 0.43460E+04, 0.29000E+03, 0.29160E+02, 0.23480E+03, 0.90100E+03,-0.83300E+00, 0.71700E+03, 0.69200E+03, 0.15250E+03,-0.71700E+03, 0.15250E+04, 0.15250E+04, 0.13030E-02, 0.00000E+00, 0.52610E+01, 0.60220E+01, 0.25530E+01, 0.61000E+01, 0.00000E+00, 0.10000E-02, 0.00000E+00, 0.00000E+00, 0.23900E+02
-0.80100E+03, 0.27430E+02, 0.27310E+02, 0.27060E+02, 0.26810E+02, 0.25880E+02, 0.25510E+02, 0.25080E+02, 0.27800E+02, 0.27860E+02, 0.27620E+02, 0.27240E+02, 0.26260E+02, 0.25640E+02, 0.25020E+02, 0.26630E+02, 0.26250E+02, 0.26320E+02, 0.25880E+02, 0.25510E+02, 0.24460E+02, 0.26940E+02, 0.27180E+02, 0.27310E+02, 0.27240E+02, 0.25760E+02, 0.25080E+02, 0.24890E+02, 0.24710E+02, 0.26250E+02, 0.26500E+02, 0.26440E+02, 0.26070E+02, 0.25510E+02, 0.25080E+02, 0.24710E+02, 0.26750E+02, 0.26870E+02, 0.26560E+02, 0.26250E+02, 0.25510E+02, 0.25080E+02, 0.24960E+02, 0.24710E+02, 0.24890E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.14842E-01, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.15669E-01, 0.55819E-01, 0.20950E+02, 0.59756E-02, 0.57881E-01, 0.20975E+02, 0.29750E-01, 0.33326E+00, 0.20942E+02, 0.17465E-01, 0.43240E+00, 0.20846E+02,-0.15240E+04, 0.51570E+03, 0.41970E+04, 0.21340E+03, 0.23160E+02, 0.83000E-01, 0.00000E+00, 0.00000E+00,-0.15240E+04, 0.51600E+03, 0.42110E+04, 0.25630E+03, 0.22240E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00,-0.27880E+03,-0.55070E+02, 0.66650E+02,-0.50130E+03, 0.29270E+03,-0.66600E+00,-0.10830E+01, 0.83000E-01,-0.15240E+04, 0.51700E+03, 0.43510E+04, 0.32660E+03, 0.29160E+02, 0.23370E+03, 0.90100E+03,-0.16700E+00, 0.70900E+03, 0.72300E+03, 0.15420E+03,-0.73700E+03, 0.15250E+04, 0.15250E+04, 0.13030E-02, 0.00000E+00, 0.52870E+01, 0.60260E+01, 0.25600E+01, 0.60940E+01, 0.00000E+00, 0.10000E-02, 0.00000E+00, 0.00000E+00, 0.23900E+02
-0.79900E+03, 0.27430E+02, 0.27310E+02, 0.27060E+02, 0.26810E+02, 0.25820E+02, 0.25570E+02, 0.25080E+02, 0.27800E+02, 0.27860E+02, 0.27620E+02, 0.27310E+02, 0.26250E+02, 0.25640E+02, 0.25080E+02, 0.26630E+02, 0.26250E+02, 0.26190E+02, 0.25880E+02, 0.25510E+02, 0.24400E+02, 0.27000E+02, 0.27180E+02, 0.27310E+02, 0.27180E+02, 0.26010E+02, 0.25140E+02, 0.24830E+02, 0.24710E+02, 0.26260E+02, 0.26500E+02, 0.26440E+02, 0.26190E+02, 0.25390E+02, 0.25080E+02, 0.24830E+02, 0.26750E+02, 0.26940E+02, 0.26500E+02, 0.26250E+02, 0.25450E+02, 0.25080E+02, 0.24960E+02, 0.25200E+02, 0.24580E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.98942E-02, 0.91878E-03, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.83031E-02, 0.55642E-01, 0.20950E+02, 0.59217E-02, 0.59005E-01, 0.20975E+02, 0.33017E-01, 0.34832E+00, 0.20950E+02, 0.16623E-01, 0.41723E+00, 0.20950E+02,-0.15240E+04, 0.51630E+03, 0.42310E+04, 0.21570E+03, 0.23240E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00,-0.15240E+04, 0.51730E+03, 0.41710E+04, 0.23870E+03, 0.22330E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00,-0.25600E+03,-0.53070E+02, 0.70800E+02,-0.50210E+03, 0.39210E+03, 0.13330E+01, 0.58300E+00,-0.75000E+00,-0.15240E+04, 0.51630E+03, 0.43630E+04, 0.29950E+03, 0.29160E+02, 0.23530E+03, 0.91400E+03,-0.58300E+00, 0.70200E+03, 0.74600E+03, 0.15650E+03,-0.71700E+03, 0.15250E+04, 0.15250E+04, 0.00000E+00, 0.00000E+00, 0.52960E+01, 0.60150E+01, 0.25400E+01, 0.61160E+01, 0.00000E+00, 0.10000E-02, 0.00000E+00, 0.00000E+00, 0.23900E+02
-0.79700E+03, 0.27430E+02, 0.27310E+02, 0.27120E+02, 0.26810E+02, 0.25820E+02, 0.25510E+02, 0.25140E+02, 0.27800E+02, 0.27860E+02, 0.27550E+02, 0.27310E+02, 0.26320E+02, 0.25570E+02, 0.25020E+02, 0.26630E+02, 0.26260E+02, 0.26190E+02, 0.25880E+02, 0.25510E+02, 0.24340E+02, 0.27000E+02, 0.27120E+02, 0.27310E+02, 0.27180E+02, 0.26070E+02, 0.25200E+02, 0.24830E+02, 0.24710E+02, 0.26190E+02, 0.26500E+02, 0.26440E+02, 0.26070E+02, 0.25450E+02, 0.25080E+02, 0.24830E+02, 0.26810E+02, 0.26940E+02, 0.26440E+02, 0.26260E+02, 0.25450E+02, 0.25080E+02, 0.24960E+02, 0.24770E+02, 0.24890E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.86575E-02, 0.18381E-02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.15009E-01, 0.61718E-01, 0.20975E+02, 0.64692E-02, 0.58225E-01, 0.20975E+02, 0.26999E-01, 0.31976E+00, 0.20942E+02, 0.21760E-01, 0.42481E+00, 0.20846E+02,-0.15240E+04, 0.51800E+03, 0.42440E+04, 0.21230E+03, 0.23160E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00,-0.15240E+04, 0.51670E+03, 0.41400E+04, 0.23370E+03, 0.22160E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00,-0.21690E+03,-0.52400E+02, 0.98600E+02,-0.51550E+03, 0.24160E+03,-0.75000E+00,-0.83300E+00, 0.33300E+00,-0.15240E+04, 0.51550E+03, 0.43520E+04, 0.29270E+03, 0.28990E+02, 0.23350E+03, 0.91300E+03, 0.83000E-01, 0.71200E+03, 0.76300E+03, 0.17970E+03,-0.73600E+03, 0.15250E+04, 0.15240E+04, 0.26058E-02, 0.00000E+00, 0.52450E+01, 0.60090E+01, 0.25260E+01, 0.61150E+01, 0.00000E+00, 0.10000E-02, 0.00000E+00, 0.00000E+00, 0.23900E+02
