'TIME  ','TCA_1 ','TCA_2 ','TCA_3 ','TCA_4 ','TCA_5 ','TCA_6 ','TCA_7 ','TCB_1 ','TCB_2 ','TCB_3 ','TCB_4 ','TCB_5 ','TCB_6 ','TCB_7 ','TCC_1 ','TCC_2 ','TCC_3 ','TCC_4 ','TCC_5 ','TCC_6 ','TCC_7 ','TCD_1 ','TCD_2 ','TCD_3 ','TCD_4 ','TCD_5 ','TCD_6 ','TCD_7 ','TCE_1 ','TCE_2 ','TCE_3 ','TCE_4 ','TCE_5 ','TCE_6 ','TCE_7 ','TCF_1 ','TCF_2 ','TCF_3 ','TCF_4 ','TCF_5 ','TCF_6 ','TCF_7 ','TCG   ','TCFIRE','SMA_1 ','SMA_4 ','SMC_4 ','SMD_1 ','SMD_4 ','SMF_1 ','SMF_4 ','GASA_1','GASA_3','GASA_5','GASC_1','GASC_3','GASC_5','GASF_1','GASF_3','GASF_5','GASB_1','GASB_3','GASB_5','Heat1A','CO2A  ','Ion3A ','Pho1A ','CO3A  ','Pho3A ','Ion4A ','CO1A  ','Heat1C','CO2C  ','Ion3C ','Pho1C ','CO3C  ','Pho3C ','Ion4C ','CO1C  ','Heat1D','CO2D  ','Ion3D ','Pho1D ','CO3D  ','Pho3D ','Ion4D ','CO1D  ','Heat1B','CO2B  ','Ion3B ','Pho1B ','CO3B  ','Pho3B ','Ion4B ','CO1B  ','Asp1A ','Asp1C ','Asp1D ','Asp1E ','Pres_1','Pres_2','SMCO  ','Ion1A ','Ion1C ','Ion1D ','Ion1BE','DiPho2','DiIon2','DiIon4','Load  ','TCRef '
-0.65100E+03, 0.32370E+02, 0.30210E+02, 0.29910E+02, 0.29600E+02, 0.28800E+02, 0.28670E+02, 0.27930E+02, 0.29910E+02, 0.29970E+02, 0.29720E+02, 0.29350E+02, 0.28730E+02, 0.28490E+02, 0.28360E+02, 0.29410E+02, 0.29470E+02, 0.28980E+02, 0.28490E+02, 0.28300E+02, 0.27930E+02, 0.27680E+02, 0.29660E+02, 0.29660E+02, 0.29170E+02, 0.28550E+02, 0.28360E+02, 0.28050E+02, 0.27870E+02, 0.29470E+02, 0.29410E+02, 0.29290E+02, 0.29040E+02, 0.28420E+02, 0.27990E+02, 0.27810E+02, 0.29840E+02, 0.29290E+02, 0.29230E+02, 0.28980E+02, 0.28360E+02, 0.28180E+02, 0.27870E+02, 0.27810E+02, 0.28730E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.28512E-01, 0.00000E+00, 0.75721E-01, 0.16412E+00, 0.20373E+02, 0.13747E+00, 0.42008E+00, 0.19227E+02, 0.24835E-01, 0.37240E+00, 0.22279E+02, 0.59579E+00, 0.50683E+00, 0.20976E+02,-0.15000E+04, 0.56190E+03, 0.44680E+04, 0.20220E+03, 0.47660E+02, 0.00000E+00, 0.83000E-01, 0.00000E+00,-0.13900E+04, 0.87500E+03, 0.44520E+04, 0.26810E+03, 0.22410E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00,-0.13070E+04, 0.64950E+03, 0.45090E+04, 0.17670E+03, 0.24750E+02, 0.22260E+03, 0.91200E+03, 0.14170E+01,-0.12660E+04, 0.54420E+03, 0.46460E+04, 0.50900E+03, 0.22080E+02, 0.21060E+03, 0.90100E+03, 0.13330E+01, 0.71800E+03, 0.72000E+03, 0.78200E+03, 0.15250E+03, 0.15240E+04, 0.65040E+03, 0.00000E+00, 0.52960E+01, 0.64620E+01, 0.60740E+01, 0.58940E+01, 0.00000E+00, 0.10000E-02, 0.10000E-02, 0.00000E+00, 0.27310E+02
-0.64900E+03, 0.32370E+02, 0.30210E+02, 0.29840E+02, 0.29720E+02, 0.28790E+02, 0.28670E+02, 0.27870E+02, 0.29900E+02, 0.29960E+02, 0.29660E+02, 0.29350E+02, 0.28790E+02, 0.28480E+02, 0.28360E+02, 0.29410E+02, 0.29470E+02, 0.28980E+02, 0.28480E+02, 0.28300E+02, 0.27740E+02, 0.27800E+02, 0.29780E+02, 0.29720E+02, 0.29220E+02, 0.28480E+02, 0.28360E+02, 0.28110E+02, 0.27870E+02, 0.29350E+02, 0.29410E+02, 0.29220E+02, 0.28980E+02, 0.28360E+02, 0.27930E+02, 0.27800E+02, 0.29900E+02, 0.29350E+02, 0.29100E+02, 0.28850E+02, 0.28300E+02, 0.28110E+02, 0.27870E+02, 0.28050E+02, 0.28550E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.45620E-01, 0.00000E+00, 0.53729E-01, 0.13040E+00, 0.20649E+02, 0.92462E-01, 0.31594E+00, 0.20001E+02, 0.22945E-01, 0.36980E+00, 0.22279E+02, 0.58850E+00, 0.47611E+00, 0.20950E+02,-0.14540E+04, 0.56720E+03, 0.44830E+04, 0.20260E+03, 0.47580E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00,-0.13720E+04, 0.83400E+03, 0.44000E+04, 0.24840E+03, 0.22410E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00,-0.12770E+04, 0.67630E+03, 0.44790E+04, 0.16860E+03, 0.24830E+02, 0.22340E+03, 0.90300E+03,-0.46660E+01,-0.12360E+04, 0.56790E+03, 0.46100E+04, 0.51080E+03, 0.22080E+02, 0.19960E+03, 0.90300E+03,-0.56660E+01, 0.69910E+03, 0.68240E+03, 0.75300E+03, 0.12630E+03, 0.15240E+04, 0.63000E+03, 0.00000E+00, 0.52720E+01, 0.65000E+01, 0.60870E+01, 0.58800E+01, 0.00000E+00, 0.10000E-02, 0.10000E-02, 0.00000E+00, 0.27310E+02
-0.64700E+03, 0.32300E+02, 0.30210E+02, 0.29900E+02, 0.29710E+02, 0.28790E+02, 0.28670E+02, 0.27800E+02, 0.29900E+02, 0.29900E+02, 0.29650E+02, 0.29280E+02, 0.28730E+02, 0.28540E+02, 0.28360E+02, 0.29340E+02, 0.29470E+02, 0.29040E+02, 0.28540E+02, 0.28300E+02, 0.27800E+02, 0.27990E+02, 0.29780E+02, 0.29710E+02, 0.29040E+02, 0.28480E+02, 0.28420E+02, 0.28050E+02, 0.27800E+02, 0.29470E+02, 0.29410E+02, 0.29220E+02, 0.28910E+02, 0.28300E+02, 0.27920E+02, 0.27860E+02, 0.29900E+02, 0.29220E+02, 0.29220E+02, 0.28850E+02, 0.28300E+02, 0.28110E+02, 0.27990E+02, 0.27490E+02, 0.28730E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.35640E-01, 0.00000E+00, 0.37689E-01, 0.11104E+00, 0.20799E+02, 0.64149E-01, 0.24603E+00, 0.20426E+02, 0.13866E-01, 0.35897E+00, 0.22279E+02, 0.58850E+00, 0.49915E+00, 0.21003E+02,-0.14240E+04, 0.26410E+03, 0.45110E+04, 0.19800E+03, 0.47660E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00,-0.13140E+04, 0.69660E+03, 0.43840E+04, 0.25830E+03, 0.22410E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00,-0.12360E+04, 0.58730E+03, 0.44860E+04, 0.16170E+03, 0.24830E+02, 0.22250E+03, 0.90300E+03,-0.41700E+00,-0.11890E+04, 0.54890E+03, 0.46370E+04, 0.51240E+03, 0.22080E+02, 0.19890E+03, 0.90300E+03,-0.58300E+00, 0.73400E+03, 0.67380E+03, 0.79900E+03, 0.12590E+03, 0.15240E+04, 0.60710E+03, 0.00000E+00, 0.53190E+01, 0.64740E+01, 0.61150E+01, 0.58620E+01, 0.00000E+00, 0.10000E-02, 0.10000E-02, 0.62650E+00, 0.27310E+02
-0.64500E+03, 0.32240E+02, 0.30210E+02, 0.29900E+02, 0.29650E+02, 0.28790E+02, 0.28670E+02, 0.27740E+02, 0.29900E+02, 0.29840E+02, 0.29650E+02, 0.29220E+02, 0.28730E+02, 0.28480E+02, 0.28360E+02, 0.29470E+02, 0.29350E+02, 0.28850E+02, 0.28540E+02, 0.28300E+02, 0.27800E+02, 0.27430E+02, 0.29650E+02, 0.29650E+02, 0.29220E+02, 0.28480E+02, 0.28360E+02, 0.27990E+02, 0.27860E+02, 0.29410E+02, 0.29410E+02, 0.29100E+02, 0.28850E+02, 0.28170E+02, 0.27860E+02, 0.27860E+02, 0.29780E+02, 0.29160E+02, 0.29100E+02, 0.28790E+02, 0.28230E+02, 0.28050E+02, 0.27930E+02, 0.27930E+02, 0.28670E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.37066E-01, 0.00000E+00, 0.31599E-01, 0.95953E-01, 0.20900E+02, 0.46469E-01, 0.19808E+00, 0.20650E+02, 0.18139E-01, 0.37036E+00, 0.22270E+02, 0.58787E+00, 0.46843E+00, 0.20897E+02,-0.13920E+04, 0.51730E+03, 0.44290E+04, 0.19440E+03, 0.47660E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00,-0.13180E+04, 0.33530E+03, 0.44030E+04, 0.26400E+03, 0.22410E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00,-0.12290E+04, 0.60590E+03, 0.44460E+04, 0.18200E+03, 0.24830E+02, 0.22260E+03, 0.90300E+03,-0.28330E+01,-0.11980E+04, 0.53010E+03, 0.45360E+04, 0.51220E+03, 0.22080E+02, 0.19900E+03, 0.90300E+03,-0.20000E+01, 0.69700E+03, 0.71600E+03, 0.75500E+03, 0.12860E+03, 0.15240E+04, 0.58990E+03, 0.00000E+00, 0.52790E+01, 0.64640E+01, 0.60790E+01, 0.58610E+01, 0.00000E+00, 0.10000E-02, 0.10000E-02, 0.15206E+01, 0.27310E+02
-0.64300E+03, 0.32250E+02, 0.30150E+02, 0.29910E+02, 0.29720E+02, 0.28860E+02, 0.28670E+02, 0.27740E+02, 0.29910E+02, 0.29910E+02, 0.29600E+02, 0.29290E+02, 0.28730E+02, 0.28490E+02, 0.28360E+02, 0.29230E+02, 0.29540E+02, 0.28980E+02, 0.28550E+02, 0.28300E+02, 0.27930E+02, 0.28300E+02, 0.29660E+02, 0.29720E+02, 0.29100E+02, 0.28550E+02, 0.28360E+02, 0.28050E+02, 0.27870E+02, 0.29410E+02, 0.29350E+02, 0.29100E+02, 0.28860E+02, 0.28120E+02, 0.27930E+02, 0.27870E+02, 0.29780E+02, 0.29230E+02, 0.29160E+02, 0.28670E+02, 0.28240E+02, 0.28120E+02, 0.27930E+02, 0.27740E+02, 0.28730E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.38492E-01, 0.00000E+00, 0.26278E-01, 0.87939E-01, 0.20950E+02, 0.33494E-01, 0.16239E+00, 0.20750E+02, 0.18159E-01, 0.34250E+00, 0.22270E+02, 0.59151E+00, 0.48379E+00, 0.20924E+02,-0.13640E+04, 0.57600E+03, 0.44540E+04, 0.19710E+03, 0.47750E+02, 0.00000E+00, 0.00000E+00, 0.83000E-01,-0.12850E+04, 0.61050E+03, 0.43720E+04, 0.25570E+03, 0.22330E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00,-0.12020E+04, 0.56190E+03, 0.44460E+04, 0.17480E+03, 0.24910E+02, 0.22170E+03, 0.90200E+03, 0.28330E+01,-0.11680E+04, 0.53580E+03, 0.45470E+04, 0.50630E+03, 0.22000E+02, 0.18660E+03, 0.90200E+03, 0.32500E+01, 0.74900E+03, 0.70000E+03, 0.75300E+03, 0.12850E+03, 0.15240E+04, 0.54990E+03, 0.00000E+00, 0.53100E+01, 0.64660E+01, 0.60930E+01, 0.58670E+01, 0.00000E+00, 0.10000E-02, 0.10000E-02, 0.15267E+01, 0.27310E+02
-0.64100E+03, 0.32240E+02, 0.30150E+02, 0.29900E+02, 0.29720E+02, 0.28850E+02, 0.28550E+02, 0.27800E+02, 0.29900E+02, 0.29840E+02, 0.29660E+02, 0.29220E+02, 0.28790E+02, 0.28480E+02, 0.28420E+02, 0.29220E+02, 0.29410E+02, 0.29100E+02, 0.28550E+02, 0.28170E+02, 0.27740E+02, 0.28360E+02, 0.29780E+02, 0.29720E+02, 0.29100E+02, 0.28420E+02, 0.28360E+02, 0.27990E+02, 0.27870E+02, 0.29410E+02, 0.29350E+02, 0.29040E+02, 0.28790E+02, 0.28050E+02, 0.27930E+02, 0.27800E+02, 0.29780E+02, 0.29220E+02, 0.29160E+02, 0.28610E+02, 0.28300E+02, 0.28050E+02, 0.27870E+02, 0.27990E+02, 0.28610E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.22810E-01, 0.00000E+00, 0.22769E-01, 0.81591E-01, 0.20975E+02, 0.25957E-01, 0.14075E+00, 0.20850E+02, 0.12674E-01, 0.34714E+00, 0.22270E+02, 0.58675E+00, 0.46843E+00, 0.20950E+02,-0.13980E+04, 0.56640E+03, 0.44340E+04, 0.19830E+03, 0.47750E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00,-0.13120E+04, 0.55770E+03, 0.44500E+04, 0.25940E+03, 0.22410E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00,-0.12420E+04, 0.54840E+03, 0.44070E+04, 0.22070E+03, 0.24910E+02, 0.23410E+03, 0.90300E+03, 0.00000E+00,-0.12040E+04, 0.53540E+03, 0.45870E+04, 0.50850E+03, 0.22080E+02, 0.19860E+03, 0.90200E+03,-0.41700E+00, 0.67840E+03, 0.74400E+03, 0.80000E+03, 0.13190E+03, 0.15240E+04, 0.56440E+03, 0.00000E+00, 0.53380E+01, 0.64660E+01, 0.60970E+01, 0.59230E+01, 0.00000E+00, 0.10000E-02, 0.10000E-02, 0.15389E+01, 0.27310E+02
-0.63900E+03, 0.32370E+02, 0.30150E+02, 0.29960E+02, 0.29720E+02, 0.28850E+02, 0.28610E+02, 0.27870E+02, 0.29900E+02, 0.29780E+02, 0.29590E+02, 0.29350E+02, 0.28730E+02, 0.28550E+02, 0.28360E+02, 0.29220E+02, 0.29410E+02, 0.28980E+02, 0.28550E+02, 0.27800E+02, 0.27620E+02, 0.28480E+02, 0.29780E+02, 0.29720E+02, 0.29040E+02, 0.28480E+02, 0.28360E+02, 0.28050E+02, 0.27800E+02, 0.29350E+02, 0.29290E+02, 0.28920E+02, 0.28790E+02, 0.27990E+02, 0.27930E+02, 0.27870E+02, 0.29590E+02, 0.29220E+02, 0.29220E+02, 0.28670E+02, 0.28110E+02, 0.28110E+02, 0.27870E+02, 0.27560E+02, 0.28790E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.19959E-01, 0.00000E+00, 0.24856E-01, 0.76179E-01, 0.21000E+02, 0.21060E-01, 0.12629E+00, 0.20875E+02, 0.10785E-01, 0.33575E+00, 0.22261E+02, 0.58596E+00, 0.46843E+00, 0.21003E+02,-0.13850E+04, 0.54640E+03, 0.44710E+04, 0.19840E+03, 0.28000E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00,-0.12920E+04, 0.54000E+03, 0.44210E+04, 0.25900E+03, 0.22410E+02, 0.00000E+00, 0.00000E+00, 0.83000E-01,-0.12210E+04, 0.54140E+03, 0.44810E+04, 0.21330E+03, 0.24830E+02, 0.22160E+03, 0.90200E+03, 0.20830E+01,-0.11840E+04, 0.52980E+03, 0.45710E+04, 0.49830E+03, 0.22080E+02, 0.19810E+03, 0.90200E+03, 0.28330E+01, 0.74000E+03, 0.73900E+03, 0.79800E+03, 0.13620E+03, 0.15240E+04, 0.53390E+03, 0.00000E+00, 0.52960E+01, 0.64530E+01, 0.61100E+01, 0.58890E+01, 0.00000E+00, 0.10000E-02, 0.10000E-02, 0.15389E+01, 0.27310E+02
-0.63700E+03, 0.32370E+02, 0.30150E+02, 0.29970E+02, 0.29660E+02, 0.28860E+02, 0.28610E+02, 0.27870E+02, 0.29900E+02, 0.29840E+02, 0.29600E+02, 0.29290E+02, 0.28860E+02, 0.28490E+02, 0.28420E+02, 0.29160E+02, 0.29410E+02, 0.29040E+02, 0.28420E+02, 0.27620E+02, 0.27430E+02, 0.28670E+02, 0.29780E+02, 0.29720E+02, 0.29160E+02, 0.28420E+02, 0.28360E+02, 0.28110E+02, 0.27870E+02, 0.29350E+02, 0.29230E+02, 0.28860E+02, 0.28730E+02, 0.27990E+02, 0.27870E+02, 0.27870E+02, 0.29600E+02, 0.29350E+02, 0.29230E+02, 0.28670E+02, 0.28110E+02, 0.28110E+02, 0.27870E+02, 0.28110E+02, 0.28550E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.18533E-01, 0.00000E+00, 0.24415E-01, 0.75451E-01, 0.21000E+02, 0.18149E-01, 0.11412E+00, 0.20900E+02, 0.17646E-01, 0.33012E+00, 0.22261E+02, 0.58183E+00, 0.45308E+00, 0.20924E+02,-0.14200E+04, 0.54740E+03, 0.44950E+04, 0.19780E+03, 0.28080E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00,-0.13260E+04, 0.53260E+03, 0.44170E+04, 0.26140E+03, 0.22410E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00,-0.12270E+04, 0.53360E+03, 0.44630E+04, 0.28390E+03, 0.24750E+02, 0.22170E+03, 0.91400E+03, 0.64160E+01,-0.11860E+04, 0.52660E+03, 0.46040E+04, 0.51070E+03, 0.22080E+02, 0.19820E+03, 0.90200E+03, 0.12500E+01, 0.73900E+03, 0.68470E+03, 0.78000E+03, 0.13530E+03, 0.15240E+04, 0.54400E+03, 0.00000E+00, 0.52740E+01, 0.64630E+01, 0.61180E+01, 0.58940E+01, 0.00000E+00, 0.10000E-02, 0.10000E-02, 0.15389E+01, 0.27310E+02
-0.63500E+03, 0.32370E+02, 0.30210E+02, 0.29910E+02, 0.29660E+02, 0.28860E+02, 0.28550E+02, 0.27870E+02, 0.29840E+02, 0.29840E+02, 0.29600E+02, 0.29350E+02, 0.28860E+02, 0.28550E+02, 0.28360E+02, 0.29230E+02, 0.29410E+02, 0.29100E+02, 0.28120E+02, 0.27620E+02, 0.27560E+02, 0.28860E+02, 0.29720E+02, 0.29720E+02, 0.29290E+02, 0.28490E+02, 0.28360E+02, 0.28120E+02, 0.27870E+02, 0.29350E+02, 0.29170E+02, 0.28730E+02, 0.28730E+02, 0.28120E+02, 0.27870E+02, 0.27870E+02, 0.29540E+02, 0.29230E+02, 0.29290E+02, 0.28670E+02, 0.28120E+02, 0.28050E+02, 0.27930E+02, 0.27680E+02, 0.28790E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.31364E-01, 0.00000E+00, 0.20188E-01, 0.72745E-01, 0.21000E+02, 0.17047E-01, 0.10611E+00, 0.20900E+02, 0.14564E-01, 0.32238E+00, 0.22261E+02, 0.57960E+00, 0.46076E+00, 0.20845E+02,-0.13740E+04, 0.53410E+03, 0.44620E+04, 0.19010E+03, 0.27910E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00,-0.12830E+04, 0.54210E+03, 0.44520E+04, 0.24390E+03, 0.22410E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00,-0.11990E+04, 0.53520E+03, 0.45110E+04, 0.27640E+03, 0.24750E+02, 0.20980E+03, 0.91400E+03, 0.24160E+01,-0.11690E+04, 0.52280E+03, 0.46250E+04, 0.51340E+03, 0.22000E+02, 0.19810E+03, 0.90200E+03, 0.26660E+01, 0.74200E+03, 0.73800E+03, 0.75800E+03, 0.13320E+03, 0.15240E+04, 0.52190E+03, 0.00000E+00, 0.53050E+01, 0.64880E+01, 0.60880E+01, 0.58840E+01, 0.00000E+00, 0.10000E-02, 0.10000E-02, 0.15389E+01, 0.27310E+02
-0.63300E+03, 0.32430E+02, 0.30220E+02, 0.29970E+02, 0.29600E+02, 0.28860E+02, 0.28550E+02, 0.27870E+02, 0.29840E+02, 0.29910E+02, 0.29600E+02, 0.29350E+02, 0.28860E+02, 0.28490E+02, 0.28360E+02, 0.29170E+02, 0.29410E+02, 0.29100E+02, 0.27680E+02, 0.27750E+02, 0.27620E+02, 0.28980E+02, 0.29780E+02, 0.29720E+02, 0.29350E+02, 0.28550E+02, 0.28360E+02, 0.28120E+02, 0.27870E+02, 0.29350E+02, 0.29170E+02, 0.28730E+02, 0.28610E+02, 0.28120E+02, 0.27870E+02, 0.27930E+02, 0.29540E+02, 0.29350E+02, 0.29230E+02, 0.28610E+02, 0.28180E+02, 0.28180E+02, 0.27990E+02, 0.27930E+02, 0.28550E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.00000E+00, 0.34215E-01, 0.00000E+00, 0.16731E-01, 0.70455E-01, 0.21000E+02, 0.15014E-01, 0.97998E-01, 0.20900E+02, 0.10456E-01, 0.32034E+00, 0.22261E+02, 0.57675E+00, 0.46076E+00, 0.20871E+02,-0.13850E+04, 0.54800E+03, 0.44720E+04, 0.19130E+03, 0.27910E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00,-0.12900E+04, 0.60030E+03, 0.44470E+04, 0.25200E+03, 0.22410E+02, 0.00000E+00, 0.00000E+00, 0.00000E+00,-0.12070E+04, 0.55700E+03, 0.45170E+04, 0.27250E+03, 0.24750E+02, 0.21000E+03, 0.91300E+03, 0.25830E+01,-0.11770E+04, 0.52080E+03, 0.46200E+04, 0.51260E+03, 0.22000E+02, 0.19820E+03, 0.90200E+03, 0.33330E+01, 0.68800E+03, 0.71800E+03, 0.81300E+03, 0.13560E+03, 0.15240E+04, 0.53690E+03, 0.00000E+00, 0.52800E+01, 0.65050E+01, 0.61010E+01, 0.58720E+01, 0.00000E+00, 0.10000E-02, 0.10000E-02, 0.15328E+01, 0.27310E+02
